site_no,image,insitu,match,maxSSCInsitu,minSSCInsitu,maxSSCMatch,minSSCMatch,serieImage
66070004,266,57,32,NA,NA,232.82,9.5,343
66070004,266,16,32,NA,NA,232.82,9.5,343
66070004,266,35,32,NA,NA,232.82,9.5,343
66070004,266,47,32,NA,NA,232.82,9.5,343
66070004,266,76,32,NA,NA,232.82,9.5,343
66070004,266,81,32,NA,NA,232.82,9.5,343
66070004,266,75,32,NA,NA,232.82,9.5,343
66070004,266,76,32,NA,NA,232.82,9.5,343
66070004,266,140,32,NA,NA,232.82,9.5,343
66070004,266,39,32,NA,NA,232.82,9.5,343
66070004,266,33,32,NA,NA,232.82,9.5,343
66070004,266,48,32,NA,NA,232.82,9.5,343
66070004,266,28,32,NA,NA,232.82,9.5,343
66070004,266,49,32,NA,NA,232.82,9.5,343
66070004,266,48,32,NA,NA,232.82,9.5,343
66070004,266,33,32,NA,NA,232.82,9.5,343
66070004,266,22,32,NA,NA,232.82,9.5,343
66070004,266,4,32,NA,NA,232.82,9.5,343
66070004,266,4,32,NA,NA,232.82,9.5,343
66070004,266,53,32,NA,NA,232.82,9.5,343
66070004,266,38,32,NA,NA,232.82,9.5,343
66070004,266,40,32,NA,NA,232.82,9.5,343
66070004,266,33,32,NA,NA,232.82,9.5,343
66070004,266,33,32,NA,NA,232.82,9.5,343
66070004,266,34,32,NA,NA,232.82,9.5,343
66070004,266,31,32,NA,NA,232.82,9.5,343
66070004,266,7,32,NA,NA,232.82,9.5,343
66070004,266,33,32,NA,NA,232.82,9.5,343
66070004,266,31,32,NA,NA,232.82,9.5,343
66070004,266,34,32,NA,NA,232.82,9.5,343
66070004,266,38,32,NA,NA,232.82,9.5,343
66070004,266,30,32,NA,NA,232.82,9.5,343
66070004,266,49,32,NA,NA,232.82,9.5,343
66070004,266,36,32,NA,NA,232.82,9.5,343
66070004,266,36,32,NA,NA,232.82,9.5,343
