site_no,image,insitu,match,maxSSCInsitu,minSSCInsitu,maxSSCMatch,minSSCMatch,serieImage
66005100,6,57,32,NA,NA,1736,0.3,15337
66005600,3,16,10,NA,NA,1736,0.3,15337
66005900,229,35,18,NA,NA,1736,0.3,15337
66005960,5,47,22,NA,NA,1736,0.3,15337
66025500,8,76,42,NA,NA,1736,0.3,15337
66028500,7,81,49,NA,NA,1736,0.3,15337
66029010,69,75,40,NA,NA,1736,0.3,15337
66050500,10,76,55,NA,NA,1736,0.3,15337
66051000,141,140,49,NA,NA,1736,0.3,15337
66052500,152,39,21,NA,NA,1736,0.3,15337
66052900,44,33,2,NA,NA,1736,0.3,15337
66053200,441,48,39,NA,NA,1736,0.3,15337
66070004,267,28,31,NA,NA,1736,0.3,15337
66071355,28,49,31,NA,NA,1736,0.3,15337
66071363,33,48,11,NA,NA,1736,0.3,15337
66071380,243,33,1,NA,NA,1736,0.3,15337
66071382,479,22,1,NA,NA,1736,0.3,15337
66071392,188,4,35,NA,NA,1736,0.3,15337
66071397,212,4,26,NA,NA,1736,0.3,15337
66071470,222,53,32,NA,NA,1736,0.3,15337
66090000,266,38,21,NA,NA,1736,0.3,15337
66120000,263,40,20,NA,NA,1736,0.3,15337
66162000,200,33,21,NA,NA,1736,0.3,15337
66165000,1,33,17,NA,NA,1736,0.3,15337
66170100,1,68,23,NA,NA,1736,0.3,15337
66170600,59,31,24,NA,NA,1736,0.3,15337
66201200,2,7,22,NA,NA,1736,0.3,15337
66210000,252,33,27,NA,NA,1736,0.3,15337
66250001,254,31,20,NA,NA,1736,0.3,15337
66255000,662,34,30,NA,NA,1736,0.3,15337
66259200,249,38,24,NA,NA,1736,0.3,15337
66260001,250,30,27,NA,NA,1736,0.3,15337
66260110,25,49,32,NA,NA,1736,0.3,15337
66340000,519,36,10,NA,NA,1736,0.3,15337
66370000,83,36,18,NA,NA,1736,0.3,15337
66380000,434,57,22,NA,NA,1736,0.3,15337
66380100,434,16,42,NA,NA,1736,0.3,15337
66385500,138,35,49,NA,NA,1736,0.3,15337
66386000,2,47,40,NA,NA,1736,0.3,15337
66388000,168,76,55,NA,NA,1736,0.3,15337
66390090,324,81,49,NA,NA,1736,0.3,15337
66400050,3,75,21,NA,NA,1736,0.3,15337
66400325,205,76,2,NA,NA,1736,0.3,15337
66400360,507,140,39,NA,NA,1736,0.3,15337
66400390,460,39,31,NA,NA,1736,0.3,15337
66420000,66,33,31,NA,NA,1736,0.3,15337
66420250,143,48,11,NA,NA,1736,0.3,15337
66449000,791,28,1,NA,NA,1736,0.3,15337
66450001,367,49,1,NA,NA,1736,0.3,15337
66452500,13,48,35,NA,NA,1736,0.3,15337
66454800,61,33,26,NA,NA,1736,0.3,15337
66456000,2,22,32,NA,NA,1736,0.3,15337
66460000,361,4,21,NA,NA,1736,0.3,15337
66470000,254,4,20,NA,NA,1736,0.3,15337
66483600,62,53,21,NA,NA,1736,0.3,15337
66484500,116,38,17,NA,NA,1736,0.3,15337
66493000,249,40,23,NA,NA,1736,0.3,15337
66493900,224,33,24,NA,NA,1736,0.3,15337
66521000,2,33,22,NA,NA,1736,0.3,15337
66522000,193,68,27,NA,NA,1736,0.3,15337
66522100,1,31,20,NA,NA,1736,0.3,15337
66525100,94,7,30,NA,NA,1736,0.3,15337
66600000,275,33,24,NA,NA,1736,0.3,15337
66650000,277,31,27,NA,NA,1736,0.3,15337
66750000,475,34,32,NA,NA,1736,0.3,15337
66800000,551,38,10,NA,NA,1736,0.3,15337
66810000,270,30,18,NA,NA,1736,0.3,15337
66830000,2,49,22,NA,NA,1736,0.3,15337
66845000,477,36,42,NA,NA,1736,0.3,15337
66855000,212,36,49,NA,NA,1736,0.3,15337
66861000,1,57,40,NA,NA,1736,0.3,15337
66870000,263,16,55,NA,NA,1736,0.3,15337
66895000,536,35,49,NA,NA,1736,0.3,15337
66900000,704,47,21,NA,NA,1736,0.3,15337
66910000,259,76,2,NA,NA,1736,0.3,15337
66926000,257,81,39,NA,NA,1736,0.3,15337
66945000,409,75,31,NA,NA,1736,0.3,15337
66950000,263,76,31,NA,NA,1736,0.3,15337
67100000,539,140,11,NA,NA,1736,0.3,15337
