site_no,image,insitu,match,maxSSCInsitu,minSSCInsitu,maxSSCMatch,minSSCMatch,serieImage
66005100,6,57,32,NA,NA,1736,0.3,23880
66005600,3,16,10,NA,NA,1736,0.3,23880
66005900,229,35,18,NA,NA,1736,0.3,23880
66005960,5,47,22,NA,NA,1736,0.3,23880
66025500,8,76,42,NA,NA,1736,0.3,23880
66028500,7,81,49,NA,NA,1736,0.3,23880
66029010,69,75,40,NA,NA,1736,0.3,23880
66050500,10,76,55,NA,NA,1736,0.3,23880
66051000,141,140,49,NA,NA,1736,0.3,23880
66052500,152,39,21,NA,NA,1736,0.3,23880
66052900,44,33,2,NA,NA,1736,0.3,23880
66053200,441,48,39,NA,NA,1736,0.3,23880
66070004,267,28,31,NA,NA,1736,0.3,23880
66071355,28,49,31,NA,NA,1736,0.3,23880
66071363,33,48,11,NA,NA,1736,0.3,23880
66071380,243,33,1,NA,NA,1736,0.3,23880
66071382,479,22,1,NA,NA,1736,0.3,23880
66071392,188,4,35,NA,NA,1736,0.3,23880
66071397,212,4,26,NA,NA,1736,0.3,23880
66071470,222,53,32,NA,NA,1736,0.3,23880
66090000,266,38,21,NA,NA,1736,0.3,23880
66120000,263,40,20,NA,NA,1736,0.3,23880
66162000,200,33,21,NA,NA,1736,0.3,23880
66165000,1,33,17,NA,NA,1736,0.3,23880
66170100,1,68,23,NA,NA,1736,0.3,23880
66170600,59,31,24,NA,NA,1736,0.3,23880
66201200,2,7,22,NA,NA,1736,0.3,23880
66210000,252,33,27,NA,NA,1736,0.3,23880
66250001,254,31,20,NA,NA,1736,0.3,23880
66255000,662,34,30,NA,NA,1736,0.3,23880
66259200,249,38,24,NA,NA,1736,0.3,23880
66260001,250,30,27,NA,NA,1736,0.3,23880
66260110,25,49,32,NA,NA,1736,0.3,23880
66340000,519,36,10,NA,NA,1736,0.3,23880
66370000,83,36,18,NA,NA,1736,0.3,23880
66380000,434,57,22,NA,NA,1736,0.3,23880
66380100,434,16,42,NA,NA,1736,0.3,23880
66385500,138,35,49,NA,NA,1736,0.3,23880
66386000,2,47,40,NA,NA,1736,0.3,23880
66388000,168,76,55,NA,NA,1736,0.3,23880
66390090,324,81,49,NA,NA,1736,0.3,23880
66400050,3,75,21,NA,NA,1736,0.3,23880
66400325,205,76,2,NA,NA,1736,0.3,23880
66400360,507,140,39,NA,NA,1736,0.3,23880
66400390,460,39,31,NA,NA,1736,0.3,23880
66420000,66,33,31,NA,NA,1736,0.3,23880
66420250,143,48,11,NA,NA,1736,0.3,23880
66449000,791,28,1,NA,NA,1736,0.3,23880
66450001,367,49,1,NA,NA,1736,0.3,23880
66452500,13,48,35,NA,NA,1736,0.3,23880
66454800,61,33,26,NA,NA,1736,0.3,23880
66456000,2,22,32,NA,NA,1736,0.3,23880
66460000,361,4,21,NA,NA,1736,0.3,23880
66470000,254,4,20,NA,NA,1736,0.3,23880
66483600,62,53,21,NA,NA,1736,0.3,23880
66484500,116,38,17,NA,NA,1736,0.3,23880
66493000,249,40,23,NA,NA,1736,0.3,23880
66493900,224,33,24,NA,NA,1736,0.3,23880
66521000,2,33,22,NA,NA,1736,0.3,23880
66522000,193,68,27,NA,NA,1736,0.3,23880
66522100,1,31,20,NA,NA,1736,0.3,23880
66525100,94,7,30,NA,NA,1736,0.3,23880
66600000,275,33,24,NA,NA,1736,0.3,23880
66650000,277,31,27,NA,NA,1736,0.3,23880
66750000,475,34,32,NA,NA,1736,0.3,23880
66800000,551,38,10,NA,NA,1736,0.3,23880
66810000,270,30,18,NA,NA,1736,0.3,23880
66830000,2,49,22,NA,NA,1736,0.3,23880
66845000,477,36,42,NA,NA,1736,0.3,23880
66855000,212,36,49,NA,NA,1736,0.3,23880
66861000,1,57,40,NA,NA,1736,0.3,23880
66870000,263,16,55,NA,NA,1736,0.3,23880
66895000,536,35,49,NA,NA,1736,0.3,23880
66900000,704,47,21,NA,NA,1736,0.3,23880
66910000,259,76,2,NA,NA,1736,0.3,23880
66926000,257,81,39,NA,NA,1736,0.3,23880
66945000,409,75,31,NA,NA,1736,0.3,23880
66950000,263,76,31,NA,NA,1736,0.3,23880
67100000,539,140,11,NA,NA,1736,0.3,23880
