site_no,image,insitu,match,maxSSCInsitu,minSSCInsitu,maxSSCMatch,minSSCMatch,serieImage
66071382,431,57,3,NA,NA,1188.78,0.47,623
66162000,114,16,17,NA,NA,1188.78,0.47,623
66210000,215,35,14,NA,NA,1188.78,0.47,623
66255000,599,47,35,NA,NA,1188.78,0.47,623
66259200,221,76,23,NA,NA,1188.78,0.47,623
66260001,219,81,22,NA,NA,1188.78,0.47,623
66380000,323,75,13,NA,NA,1188.78,0.47,623
66449000,640,76,2,NA,NA,1188.78,0.47,623
66450001,340,140,10,NA,NA,1188.78,0.47,623
66493900,174,39,7,NA,NA,1188.78,0.47,623
66845000,443,33,12,NA,NA,1188.78,0.47,623
66855000,165,48,12,NA,NA,1188.78,0.47,623
66870000,256,28,8,NA,NA,1188.78,0.47,623
66900000,562,49,11,NA,NA,1188.78,0.47,623
66910000,226,48,13,NA,NA,1188.78,0.47,623
66926000,236,33,3,NA,NA,1188.78,0.47,623
66945000,331,22,17,NA,NA,1188.78,0.47,623
66071382,431,4,14,NA,NA,1188.78,0.47,623
66162000,114,4,35,NA,NA,1188.78,0.47,623
66210000,215,53,23,NA,NA,1188.78,0.47,623
66255000,599,38,22,NA,NA,1188.78,0.47,623
66259200,221,40,13,NA,NA,1188.78,0.47,623
66260001,219,33,2,NA,NA,1188.78,0.47,623
66380000,323,33,10,NA,NA,1188.78,0.47,623
66449000,640,34,7,NA,NA,1188.78,0.47,623
66450001,340,31,12,NA,NA,1188.78,0.47,623
66493900,174,7,12,NA,NA,1188.78,0.47,623
66845000,443,33,8,NA,NA,1188.78,0.47,623
66855000,165,31,11,NA,NA,1188.78,0.47,623
66870000,256,34,13,NA,NA,1188.78,0.47,623
66900000,562,38,3,NA,NA,1188.78,0.47,623
66910000,226,30,17,NA,NA,1188.78,0.47,623
66926000,236,49,14,NA,NA,1188.78,0.47,623
66945000,331,36,35,NA,NA,1188.78,0.47,623
66071382,431,36,23,NA,NA,1188.78,0.47,623
