site_no,image,insitu,match,maxSSCInsitu,minSSCInsitu,maxSSCMatch,minSSCMatch,serieImage
66070004,266,57,16,NA,NA,1207.43,2.22,199
66260001,238,16,22,NA,NA,1207.43,2.22,199
66460000,357,35,16,NA,NA,1207.43,2.22,199
66493900,180,47,2,NA,NA,1207.43,2.22,199
66522000,121,76,12,NA,NA,1207.43,2.22,199
66870000,259,81,12,NA,NA,1207.43,2.22,199
66900000,642,75,15,NA,NA,1207.43,2.22,199
66945000,384,76,16,NA,NA,1207.43,2.22,199
66070004,266,140,22,NA,NA,1207.43,2.22,199
66260001,238,39,16,NA,NA,1207.43,2.22,199
66460000,357,33,2,NA,NA,1207.43,2.22,199
66493900,180,48,12,NA,NA,1207.43,2.22,199
66522000,121,28,12,NA,NA,1207.43,2.22,199
66870000,259,49,15,NA,NA,1207.43,2.22,199
66900000,642,48,16,NA,NA,1207.43,2.22,199
66945000,384,33,22,NA,NA,1207.43,2.22,199
66070004,266,22,16,NA,NA,1207.43,2.22,199
66260001,238,4,2,NA,NA,1207.43,2.22,199
66460000,357,4,12,NA,NA,1207.43,2.22,199
66493900,180,53,12,NA,NA,1207.43,2.22,199
66522000,121,38,15,NA,NA,1207.43,2.22,199
66870000,259,40,16,NA,NA,1207.43,2.22,199
66900000,642,33,22,NA,NA,1207.43,2.22,199
66945000,384,33,16,NA,NA,1207.43,2.22,199
66070004,266,34,2,NA,NA,1207.43,2.22,199
66260001,238,31,12,NA,NA,1207.43,2.22,199
66460000,357,7,12,NA,NA,1207.43,2.22,199
66493900,180,33,15,NA,NA,1207.43,2.22,199
66522000,121,31,16,NA,NA,1207.43,2.22,199
66870000,259,34,22,NA,NA,1207.43,2.22,199
66900000,642,38,16,NA,NA,1207.43,2.22,199
66945000,384,30,2,NA,NA,1207.43,2.22,199
66070004,266,49,12,NA,NA,1207.43,2.22,199
66260001,238,36,12,NA,NA,1207.43,2.22,199
66460000,357,36,15,NA,NA,1207.43,2.22,199
