"variable","value"
"(Intercept)","0.502155250760412"
"B1","0"
"B2","-0.00218678737596427"
"B3","0.00207496089259396"
"B4","0.00229613334848452"
"B5","-0.00195544674760084"
"B1.2","1.72070997251135e-07"
"B2.2","0"
"B3.2","-4.78657925288672e-07"
"B4.2","-3.04346702921844e-07"
"B5.2","0"
"B2.B1","0.825306337062339"
"B3.B1","0"
"B4.B1","-0.679920641998709"
"B5.B1","-0.0296688592295798"
"B3.B2","-0.551927026672579"
"B4.B2","0.414407385295945"
"B5.B2","4.38770617731469"
"B4.B3","0"
"B5.B3","-3.90199535393387"
"B5.B4","0.864781938304545"
