"variable","value"
"(Intercept)","0.406626919183346"
"(Intercept)","0"
"B1","0"
"B2","0"
"B3","0.000547389674797893"
"B4","0"
"B5","0"
"B7","0.0019575921436561"
"B1.2","0"
"B2.2","0"
"B3.2","0"
"B4.2","0"
"B5.2","0"
"B7.2","0"
"site_no66810000","-0.268135855099603"
"site_no66845000","0"
"site_no66870000","0"
"B2.B1","0"
"B3.B1","0"
"B4.B1","0.411179158893313"
"B5.B1","0"
"B7.B1","0"
"B3.B2","0.0609895367656359"
"B4.B2","0"
"B5.B2","0"
"B7.B2","0"
"B4.B3","0"
"B5.B3","0"
"B7.B3","0"
"B5.B4","0"
"B7.B4","0"
"B7.B5","0"
