"variable","value"
"(Intercept)","0.185237747714586"
"B1","0"
"B2","-0.000350413452613372"
"B3","0.000886385334949264"
"B4","0.00114842600943751"
"B5","-0.000997267282723432"
"B1.2","7.74746781149848e-08"
"B2.2","-4.05859264367484e-07"
"B3.2","0"
"B4.2","-1.71452195926864e-07"
"B5.2","0"
"B2.B1","0.678834039805406"
"B3.B1","-0.386535625045114"
"B4.B1","0"
"B5.B1","0.082966275083976"
"B3.B2","0"
"B4.B2","0.576470486579307"
"B5.B2","1.42200422409127"
"B4.B3","-0.497859635797352"
"B5.B3","-2.03147013171208"
"B5.B4","1.11929524017374"
