station_nm,site_no,Latitude,Longitude,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
RONDONOPOLIS,66450001,-16.479852032203155,-54.649355730605066,742,521.5,958,1311.5,868,1.8400563382272899,2.433689985916339,1.4904640043100545,1.315247745197932,0.888127990430622,0.6811114089421229,0.0012795770458869323,4
SAO PEDRO DA CIPA,66380000,-15.998215609218358,-54.923951632577314,822,483,844,922.5,1065.5,1.732044067716124,1.8465500485908648,2.1671242927176317,1.062336816433175,1.2800152767610218,1.1749140577980435,0.0024039213766769707,3
ACIMA DO CORREGO GRANDE,66460000,-16.61049031576596,-55.20923154067362,692,459.5,897,1154.5,870.5,1.9303984498001694,2.466285192349022,1.678094845644037,1.2678601300629404,0.977175127470697,0.7520981837899386,0.0015992494568171816,3
PEDRO GOMES,66845000,-18.165530462538353,-54.471370712056775,947,410,707,788,984,1.683377308707124,1.843558282208589,2.3266932270916336,1.0998439937597504,1.364795918367347,1.2220902612826603,0.0028957078137406005,2
PCH AQUARIUS MONTANTE,66493900,-17.618189185531037,-54.88805586909707,415,454,690,610,904,1.4908180300500835,1.2676659528907923,1.978201634877384,0.8893280632411067,1.3161157024793388,1.5007407407407407,0.0032291546534425094,2
UHE ITIQUIRA MONTANTE,66522000,-17.086441384907612,-54.914101478350254,288,531.5,790.5,791.5,1283,1.4857058380819268,1.4361294845390782,2.4797322062297105,0.9802424661506547,1.671891022500898,1.6822614609223971,0.003042529200181868,4
UHE ITIQUIRA JUSANTE,66525100,-17.135348805261806,-54.81869455221072,67,489,804,893,1238,1.6112469437652812,1.8059071729957805,2.588021778584392,1.12,1.6298543689320388,1.471931493815414,0.002944240402217113,3
COXIM,66870000,-18.50815886928303,-54.76266594747418,526,497,820,1006,739.5,1.648715793406183,2,1.3800631313131313,1.210149481665875,0.8944310511089681,0.7263805522208884,0.0014338277040927769,3
GARIMPAGEM,66855000,-18.71519047209347,-54.564499037557994,344,478,798,982.25,1113.75,1.663996906905726,2.0412222442505947,2.3400390488320344,1.2308202730030335,1.401097615834458,1.134343016895588,0.002376902617357275,3
PONTE DO GREGO,66926000,-20.155694149207047,-55.0921578425154,484,381,666,779.5,1073.5,1.70604035072539,1.9423379483952172,2.6861631443101377,1.1288817155154356,1.5829439326809678,1.4031071585419412,0.0035466807085021137,1
AQUIDAUANA,66945000,-20.47810053267435,-55.802349949095614,716,434.5,711.5,844,887.5,1.5983088755777364,1.87613328167377,1.967808213112286,1.166403785488959,1.2490378000285411,1.094181157198546,0.0023773704591795695,2
ESTRADA MT-738,66900000,-20.762216615395705,-56.09173668926215,1312,394,628,701.5,953.5,1.5656733719740878,1.6760498771813868,2.3614974056150526,1.0672417572631305,1.517834143257872,1.398615890878947,0.0034306845624055083,1
UHE MANSO MONTANTE,66162000,-14.813588527854664,-55.27629642051745,280,423,679,653,1175,1.6075568161921772,1.4527553502802948,2.820460825238557,0.9208214976131297,1.79723099481164,1.8439655416101313,0.004125067727937349,2
UHE MANSO JUSANTE,66210000,-14.869019613050046,-55.7998038023941,456,363,484.5,372.5,525,1.3426067073170733,0.9608187134502923,1.4600525086109304,0.7697051694007554,1.0905769200546902,1.4122727272727271,0.0038493790861131453,5
ROSARIO OESTES,66250001,-14.832125010933837,-56.41446858710634,441,432,700,658,548,1.6586921850079746,1.5506535947712419,1.3299319727891157,0.9362745098039216,0.8302752293577982,0.8654292343387471,0.0018953994824479133,2
