station_nm,site_no,N_samples,B1,B2,B3,B4,B2.B1,B3.B1,B4.B1,B3.B2,B4.B2,B4.B3,B4.B3.B1,cluster
PCH LAJARI MONTANTE,66830000,4,298,401.5,391.5,867.5,1.2620881471972614,1.2582901222713014,2.8732196755329182,1.0475432346912377,2.2133151903520467,2.289131533717521,0.007807716539930934,6
RONDONOPOLIS,66450001,762,523.5,956,1303.5,879,1.8325915121153717,2.415815413967169,1.49849498678525,1.3137557625254486,0.8934935032414234,0.6868219819039492,0.0012828962464196208,5
RONDONOPOLIS,66449000,1542,470,887,1109.75,949.5,1.849036702841117,2.251216540652883,1.8935017997631582,1.2144054269752593,1.109383054342223,0.8917227842807152,0.0018347576221333574,5
SAO PEDRO DA CIPA,66380000,884,485.5,844,918.5,1069,1.7232587382779199,1.825609122727786,2.1729589241080314,1.060643185526171,1.2913428814520702,1.1810774477014885,0.0023872051906653896,2
RIO SAO LOURENCO - SAO PEDRO DA CIPA,66380100,884,485.5,844,918.5,1069,1.7232587382779199,1.825609122727786,2.1729589241080314,1.060643185526171,1.2913428814520702,1.1810774477014885,0.0023872051906653896,2
PCH POXOREO MONTANTE,66420000,205,524,953,1198,1435,1.8113391984359726,2.2131474103585655,2.6862123613312203,1.2511574074074074,1.5158478605388273,1.202854996243426,0.002325482997448315,5
PCH POXOREO JUSANTE,66420250,327,482,874,1039,1325,1.788863109048724,2.055421686746988,2.715203426124197,1.1802973977695168,1.5026666666666666,1.3037735849056604,0.002623599537085046,5
PCH SAO LOURENCO MONTANTE,66400360,967,432,720,756,1086,1.6490683229813665,1.6676300578034682,2.4936708860759493,1.0261627906976745,1.5240963855421688,1.428720083246618,0.0032237883662734283,2
PCH SAO LOURENCO JUSANTE,66400390,931,448,745,754,867,1.6725663716814159,1.5655339805825244,1.792808219178082,0.970013037809648,1.1709314227226202,1.160248447204969,0.002436850213648299,4
PCH SAO LOURENCO RIO AREIAL,66390090,408,356.5,649,520.5,939.5,1.789591428235017,1.3953030470247114,2.6509782207456625,0.8162904737866878,1.4817198774662768,1.803801888648436,0.005123361967429095,3
PCH CACHOEIRA DA FUMACA JUSANTE,66388000,376,461,721.75,740.5,1117.5,1.5865967871703774,1.6419764097304288,2.3839121489303685,1.0254750869717952,1.569542596309157,1.4826402884602201,0.003142528294763319,2
CGH CAMBARAÂ JUSANTE,66385500,353,675,888,844.5,1583,1.3218954248366013,1.2792527040314652,2.343825665859564,0.9647302904564315,1.751658767772512,1.8109452736318408,0.0027860119564408507,8
PCH SETE QUEDAS ALTAS MONTANTE,66400325,233,275,342,283,373,1.2092307692307693,1.0028818443804035,1.4054054054054055,0.8243243243243243,1.125248508946322,1.3611111111111112,0.004807369058024608,9
PCH AÂGUA PRATA JUSANTE,66400050,12,609.5,670,609.5,1385,1.0880859230095805,0.9646575191288993,2.011018237082067,0.8877647384226331,1.9468405527092068,2.1804270498191483,0.0030095196120904734,8
ACIMA DO CORREGO GRANDE,66460000,707,463,898,1154,886,1.923913043478261,2.4567164179104477,1.6802168021680217,1.2661064425770308,0.9865951742627346,0.7612946729602158,0.0015992498026074864,5
UHE ITIQUIRA MONTANTE,66522000,405,544,792,781,1275,1.4340836012861737,1.3714285714285714,2.363817097415507,0.9651162790697675,1.6471631205673758,1.6689098250336474,0.002994446975386926,6
