site_no,sample_date,station_nm,sensor,Latitude,Longitude,num_pix,landsat_dt,B1,B2,B3,B4,B5,B6,B7,B2.B1,B2.B1.1,B3.B1,B4.B1,B5.B1,B7.B1,B3.B2,B4.B2,B5.B2,B7.B2,B4.B3,B5.B3,B7.B3,B5.B4,B7.B4,B7.B5,B1.2,B2.2,B3.2,B4.2,B5.2,B7.2,nd52,cloud_cover,match_dt_start,match_dt_end,i.site_no,FID,N,agency_cd,operadora,i.Latitude,i.Longitude,NivelConsistencia,Hora,NumMedicao,DataLiq,HoraLiq,NumMedicaoLiq,Cota,Vazao,AreaMolhada,Largura,VelMedia,ConcentracaoMatSuspensao,CotaDeMedicao,TemperaturaDaAgua,ConcentracaoDaAmostraExtra,CondutividadeEletrica,sample_method,Data,lag_days,log10_SSC_mgL,abs_lag_days,cluster_sel,ssc_category,holdout25
66845000,03/07/2007,Pedro Gomes,Landsat 5,-18.16553046,-54.47137071,17,2007-07-09,390,668,686,614,361,2960,175,1.71282051282051,1.71282051282051,1.75897435897436,1.57435897435897,0.925641025641026,0.448717948717949,1.02694610778443,0.919161676646707,0.540419161676647,0.261976047904192,0.895043731778426,0.526239067055394,0.255102040816327,0.587947882736156,0.285016286644951,0.484764542936288,152100,446224,470596,376996,130321,30625,-0.306468717,0,2007-07-03,2007-07-03,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 11:10,43,03/07/2007,01/01/1900 07:30,43,279,127.5,151.44,74.5,0.842,228.16,279,21,,20,,,-6,2.35823950817177,6,1,0-250,holdout
66845000,25/08/2008,Pedro Gomes,Landsat 5,-18.16553046,-54.47137071,13,2008-08-28,512,769,826,705,550,2994,343,1.501953125,1.501953125,1.61328125,1.376953125,1.07421875,0.669921875,1.074122236671,0.916775032509753,0.715214564369311,0.446033810143043,0.853510895883777,0.665859564164649,0.415254237288136,0.780141843971631,0.486524822695036,0.623636363636364,262144,591361,682276,497025,302500,117649,-0.191324555,0,2008-08-25,2008-08-25,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 12:00,46,25/08/2008,01/01/1900 09:40,46,276,112,141,74.7,0.79,199.92,276,25.8,148.09,37,,,-3,2.30085624311839,3,1,0-250,holdout
66845000,23/06/2009,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,13,2009-06-20,318,671,854,794,286,2929,166,2.11006289308176,2.11006289308176,2.68553459119497,2.49685534591195,0.89937106918239,0.522012578616352,1.27272727272727,1.1833084947839,0.426229508196721,0.247391952309985,0.929742388758782,0.334894613583138,0.194379391100703,0.360201511335013,0.209068010075567,0.58041958041958,101124,450241,729316,630436,81796,27556,-0.389473684,0,2009-06-23,2009-06-23,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 11:50,47,23/06/2009,01/01/1900 10:12,47,289,128,133,74.4,0.962,278.1,289,,402,53.34,,,3,2.44420098886416,3,1,250-500,holdout
66845000,02/10/2009,Pedro Gomes,Landsat 5,-18.16553046,-54.47137071,16,2009-10-02,616,872,819,1214,572,2955,298,1.41558441558442,1.41558441558442,1.32954545454545,1.97077922077922,0.928571428571429,0.483766233766234,0.939220183486239,1.39220183486239,0.655963302752294,0.341743119266055,1.48229548229548,0.698412698412698,0.363858363858364,0.471169686985173,0.245469522240527,0.520979020979021,379456,760384,670761,1473796,327184,88804,-0.207756233,13,2009-10-02,2009-10-02,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 10:20,48,02/10/2009,01/01/1900 07:38,48,273,115.021,128.47,74.8,0.895,307.8,273,26.9,165.2,26.95,,,0,2.48826861549546,0,1,250-500,holdout
66845000,18/10/2010,Pedro Gomes,Landsat 5,-18.16553046,-54.47137071,15,2010-10-21,463,704,798,809,499,3036,282,1.52051835853132,1.52051835853132,1.72354211663067,1.74730021598272,1.07775377969762,0.609071274298056,1.13352272727273,1.14914772727273,0.708806818181818,0.400568181818182,1.01378446115288,0.62531328320802,0.353383458646617,0.6168108776267,0.348578491965389,0.565130260521042,214369,495616,636804,654481,249001,79524,-0.170111288,0,2010-10-18,2010-10-18,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 13:20,50,18/10/2010,01/01/1900 10:40,50,287,110.67,149.34,75.1,0.741,114.36,287,27.6,67.82,25.9,,,-3,2.05827414668595,3,1,0-250,holdout
66845000,16/04/2011,Pedro Gomes,Landsat 5,-18.16553046,-54.47137071,22,2011-04-15,356,740,838,1005,386,2942,147,2.07865168539326,2.07865168539326,2.35393258426966,2.82303370786517,1.08426966292135,0.412921348314607,1.13243243243243,1.35810810810811,0.521621621621622,0.198648648648649,1.19928400954654,0.460620525059666,0.175417661097852,0.38407960199005,0.146268656716418,0.380829015544041,126736,547600,702244,1010025,148996,21609,-0.260536398,11,2011-04-16,2011-04-16,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 10:20,51,16/04/2011,01/01/1900 07:40,51,343,235.155,180.41,77.3,1.303,478.1,343,26.5,291.4,28.13,,,1,2.67951874369579,1,1,250-500,holdout
66845000,03/08/2011,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,11,2011-07-28,400,610,652,586,356,2960,153,1.525,1.525,1.63,1.465,0.89,0.3825,1.06885245901639,0.960655737704918,0.583606557377049,0.250819672131148,0.898773006134969,0.54601226993865,0.234662576687117,0.607508532423208,0.261092150170648,0.429775280898876,160000,372100,425104,343396,126736,23409,-0.298522167,0,2011-08-03,2011-08-03,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 10:30,52,03/08/2011,01/01/1900 07:10,52,280,122.025,156.42,76.8,0.78,153.37,280,21.3,,21.34,,,6,2.18574041757496,6,1,0-250,holdout
66845000,04/11/2011,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,15,2011-11-01,496,709,795,1157,479,2955,239,1.42943548387097,1.42943548387097,1.60282258064516,2.33266129032258,0.965725806451613,0.481854838709677,1.1212976022567,1.63187588152327,0.675599435825106,0.337094499294781,1.45534591194969,0.60251572327044,0.30062893081761,0.41400172860847,0.20656871218669,0.498956158663883,246016,502681,632025,1338649,229441,57121,-0.173553719,16,2011-11-04,2011-11-04,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 10:00,53,04/11/2011,01/01/1900 07:00,53,283,131.623,154.38,76,0.853,319.1,283,27.1,,21,,,3,2.50392680419351,3,1,250-500,holdout
66845000,22/03/2012,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,1,2012-03-24,810,1023,1196,1771,621,2929,300,1.26296296296296,1.26296296296296,1.47654320987654,2.18641975308642,0.766666666666667,0.37037037037037,1.16911045943304,1.73118279569892,0.607038123167155,0.293255131964809,1.48076923076923,0.519230769230769,0.250836120401338,0.350649350649351,0.169395821569735,0.483091787439614,656100,1046529,1430416,3136441,385641,90000,-0.244525547,45,2012-03-22,2012-03-22,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 11:43,54,22/03/2012,01/01/1900 10:05,54,329,149.268,153.81,75.5,0.971,421.1,329,21.8,242.3,31.39,,,-2,2.62438524142027,2,1,250-500,holdout
66845000,18/06/2012,Pedro Gomes,Landsat 7,-18.16553046,-54.47137071,19,2012-06-12,297,571,594,836,250,2950,98,1.92255892255892,1.92255892255892,2,2.81481481481482,0.841750841750842,0.32996632996633,1.04028021015762,1.46409807355517,0.437828371278459,0.171628721541156,1.40740740740741,0.420875420875421,0.164983164983165,0.299043062200957,0.117224880382775,0.392,88209,326041,352836,698896,62500,9604,-0.300699301,0,2012-06-18,2012-06-18,66845000,20796,20804,ANA,CPRM,-18.16722222,-54.47083333,1,01/01/1900 11:49,55,18/06/2012,01/01/1900 10:00,55,292,115.887,135.57,76.2,0.855,412.2,292,22.5,236.7,27.4,,,6,2.61510798744319,6,1,250-500,holdout
