EstacaoCodigo;NomeEstacao;Data;Hora;Largura;ConcentracaoMatSuspensao
66255000;Acorizal;20/10/2016;01/01/1900 07:00;121.81;25.5
66255000;Acorizal;03/06/2016;01/01/1900 07:00;125.15;26.9
66255000;Acorizal;23/01/2016;01/01/1900 07:00;127.86;46.6
66255000;Acorizal;21/12/2015;01/01/1900 07:00;124.85;28.1
66255000;Acorizal;08/06/2015;01/01/1900 07:00;123.3;20.5
66255000;Acorizal;29/01/2015;01/01/1900 07:00;129.3;31.8
66255000;Acorizal;13/09/2014;01/01/1900 07:00;120.6;12.6
66255000;Acorizal;07/07/2014;01/01/1900 07:00;121.6;9.3
66255000;Acorizal;11/02/2014;01/01/1900 07:00;128.07;34.3
66255000;Acorizal;18/10/2013;01/01/1900 07:00;124.54;18.9
66255000;Acorizal;27/11/2012;01/01/1900 07:00;128;86
66255000;Acorizal;11/08/2012;01/01/1900 07:00;125.3;27
66255000;Acorizal;30/05/2012;01/01/1900 07:00;128.1;28
66255000;Acorizal;18/02/2012;01/01/1900 07:00;129.2;48
66255000;Acorizal;21/11/2011;01/01/1900 07:00;125.7;50
66255000;Acorizal;25/08/2011;01/01/1900 07:00;125.6;14
66255000;Acorizal;22/05/2011;01/01/1900 07:00;126;15
66255000;Acorizal;12/02/2011;01/01/1900 07:00;137.2;140
66255000;Acorizal;07/08/2010;01/01/1900 07:00;126;7
66255000;Acorizal;28/04/2010;01/01/1900 07:00;125.5;55
66255000;Acorizal;21/01/2010;01/01/1900 07:00;129.5;49
66255000;Acorizal;23/10/2009;01/01/1900 07:00;127;51
66255000;Acorizal;28/07/2009;01/01/1900 08:40;125.5;7
66255000;Acorizal;16/04/2009;01/01/1900 08:50;138.8;52
66255000;Acorizal;24/01/2009;01/01/1900 08:20;126.4;30
66255000;Acorizal;24/10/2008;01/01/1900 07:00;125.4;37
66255000;Acorizal;18/07/2008;01/01/1900 07:00;125.8;22
66255000;Acorizal;11/03/2008;01/01/1900 07:00;136.6;103
66255000;Acorizal;12/12/2007;01/01/1900 07:00;129;122
66255000;Acorizal;13/09/2007;01/01/1900 07:00;125.6;30
66255000;Acorizal;06/06/2007;01/01/1900 07:00;125.7;26
66255000;Acorizal;12/03/2007;01/01/1900 07:00;127.2;283
66255000;Acorizal;07/12/2006;01/01/1900 07:00;132;114
66255000;Acorizal;31/08/2006;01/01/1900 07:00;125;40.33
66255000;Acorizal;19/06/2006;01/01/1900 07:00;125.8;33
66255000;Acorizal;13/04/2006;01/01/1900 07:00;139;38
66255000;Acorizal;06/12/2005;01/01/1900 13:15;126.8;95.33
66255000;Acorizal;06/09/2005;01/01/1900 10:05;125.3;64.67
66255000;Acorizal;17/06/2005;01/01/1900 15:15;125.7;70.67
66255000;Acorizal;23/03/2005;01/01/1900 09:30;136.6;190.3
66255000;Acorizal;06/12/2004;01/01/1900 07:00;126.8;47.3
66255000;Acorizal;09/09/2004;01/01/1900 07:00;126;34
66255000;Acorizal;08/06/2004;01/01/1900 07:00;127;55.3
66255000;Acorizal;15/03/2004;01/01/1900 07:00;131.6;92
66255000;Acorizal;19/01/2004;01/01/1900 07:00;137.2;190
66255000;Acorizal;12/06/2003;01/01/1900 10:00;126.4;36.67
66255000;Acorizal;09/09/2002;01/01/1900 07:00;128.4;26
66255000;Acorizal;05/06/2002;01/01/1900 07:00;126.8;48
66255000;Acorizal;13/03/2002;01/01/1900 07:00;133;52
66255000;Acorizal;06/12/2001;01/01/1900 07:00;133;230.7
66255000;Acorizal;08/11/2001;01/01/1900 07:00;128;42.7
66255000;Acorizal;27/10/2001;01/01/1900 07:00;126.4;49.3
66255000;Acorizal;19/09/2001;01/01/1900 07:00;126.6;26.7
66255000;Acorizal;23/08/2001;01/01/1900 07:00;125.4;62.7
66255000;Acorizal;22/06/2001;01/01/1900 07:00;125.8;18
66255000;Acorizal;03/05/2001;01/01/1900 07:00;125.4;80.7
66255000;Acorizal;03/04/2001;01/01/1900 07:00;128.2;81.3
66255000;Acorizal;06/03/2001;01/01/1900 07:00;130;126.7
66255000;Acorizal;06/02/2001;01/01/1900 07:00;128.4;85
66255000;Acorizal;08/01/2001;01/01/1900 07:00;127.6;53.3
66255000;Acorizal;12/12/2000;01/01/1900 07:00;134.4;294
66255000;Acorizal;07/11/2000;01/01/1900 07:00;130.7;249.3
66255000;Acorizal;10/10/2000;01/01/1900 07:00;124;35.3
66255000;Acorizal;25/09/2000;01/01/1900 07:00;124;
66255000;Acorizal;08/08/2000;01/01/1900 07:00;124;28.7
66255000;Acorizal;05/07/2000;01/01/1900 07:00;124;58
66255000;Acorizal;07/06/2000;01/01/1900 07:00;124;32
66255000;Acorizal;09/05/2000;01/01/1900 07:00;124;40
66255000;Acorizal;26/04/2000;01/01/1900 07:00;124;30
66255000;Acorizal;07/03/2000;01/01/1900 07:00;131;84.3
66255000;Acorizal;08/02/2000;01/01/1900 07:00;132;214.7
66255000;Acorizal;12/01/2000;01/01/1900 07:00;127.4;56.3
66255000;Acorizal;10/12/1999;01/01/1900 07:00;128.6;109.7
66255000;Acorizal;15/11/1999;01/01/1900 07:00;127;81.3
66255000;Acorizal;12/10/1999;01/01/1900 07:00;127.2;17.7
66255000;Acorizal;14/09/1999;01/01/1900 07:00;126.7;14.3
66370000;Ilha Camargo;19/11/2019;01/01/1900 10:37;109.14;109.8
66370000;Ilha Camargo;23/05/2019;01/01/1900 14:57;119.5;19.8
66370000;Ilha Camargo;20/02/2019;01/01/1900 14:21;116.2;44.4
66370000;Ilha Camargo;16/11/2018;01/01/1900 11:15;112.9;120.3
66370000;Ilha Camargo;16/05/2018;01/01/1900 14:13;116;21.9
66370000;Ilha Camargo;10/02/2018;01/01/1900 11:18;113.1;155.8
66370000;Ilha Camargo;24/10/2017;01/01/1900 12:52;95.37;86.5
66370000;Ilha Camargo;31/07/2017;01/01/1900 12:32;106.28;81.3
66370000;Ilha Camargo;31/05/2017;01/01/1900 10:48;110.65;52.2
66370000;Ilha Camargo;10/02/2017;01/01/1900 12:52;112.87;51.5
66370000;Ilha Camargo;12/09/2016;01/01/1900 15:48;106.87;80.9
66370000;Ilha Camargo;07/06/2016;01/01/1900 12:32;110.34;85.8
66370000;Ilha Camargo;19/02/2016;01/01/1900 13:42;99.82;38.5
66370000;Ilha Camargo;18/09/2015;01/01/1900 13:05;104.01;125.2
66370000;Ilha Camargo;15/06/2015;01/01/1900 14:21;112.4;31.2
66370000;Ilha Camargo;10/02/2015;01/01/1900 13:18;108.93;28.7
66370000;Ilha Camargo;25/09/2014;01/01/1900 10:55;106.47;111.1
66370000;Ilha Camargo;06/06/2014;01/01/1900 12:38;112.27;33.6
66370000;Ilha Camargo;11/02/2014;01/01/1900 12:48;110.86;37.9
66370000;Ilha Camargo;03/09/2013;01/01/1900 11:05;98.22;156.2
66370000;Ilha Camargo;06/06/2013;01/01/1900 14:50;109.22;71
66370000;Ilha Camargo;13/03/2013;01/01/1900 12:05;112.5;16.1
66370000;Ilha Camargo;17/07/2012;01/01/1900 11:05;105.2;82.6
66370000;Ilha Camargo;19/04/2012;01/01/1900 14:18;111.9;25.2
66370000;Ilha Camargo;23/11/2011;01/01/1900 14:19;106.2;91.3
66370000;Ilha Camargo;30/08/2011;01/01/1900 15:40;104;79.89
66370000;Ilha Camargo;12/05/2010;01/01/1900 13:43;106.6;19.97
66370000;Ilha Camargo;26/01/2010;01/01/1900 12:00;109.9;90.81
66370000;Ilha Camargo;20/10/2009;01/01/1900 12:31;102.9;98.09
66370000;Ilha Camargo;24/07/2009;01/01/1900 11:20;105.1;91.44
66370000;Ilha Camargo;30/03/2009;01/01/1900 15:25;109.1;29.12
66370000;Ilha Camargo;25/09/2008;01/01/1900 13:00;103.9;81.61
66370000;Ilha Camargo;26/06/2008;01/01/1900 15:50;106.4;79.61
66470000;Sao Jose do Borireu;05/02/2020;01/01/1900 18:18;82.21;368,30
66470000;Sao Jose do Borireu;18/11/2019;01/01/1900 16:05;83.53;171,70
66470000;Sao Jose do Borireu;27/05/2019;01/01/1900 14:04;81.2;245,20
66470000;Sao Jose do Borireu;20/02/2019;01/01/1900 18:56;83.7;381,70
66470000;Sao Jose do Borireu;15/11/2018;01/01/1900 11:20;81.2;465,00
66470000;Sao Jose do Borireu;21/05/2018;01/01/1900 13:48;80;2,50
66470000;Sao Jose do Borireu;09/02/2018;01/01/1900 20:43;81.97;258,80
66470000;Sao Jose do Borireu;25/10/2017;01/01/1900 11:48;71.34;105,90
66470000;Sao Jose do Borireu;30/05/2017;01/01/1900 15:58;80.04;294,50
66470000;Sao Jose do Borireu;09/02/2017;01/01/1900 19:40;83.76;432,00
66470000;Sao Jose do Borireu;06/06/2016;01/01/1900 16:56;79.24;141,40
66470000;Sao Jose do Borireu;20/02/2016;01/01/1900 09:05;75.26;267,30
66470000;Sao Jose do Borireu;17/09/2015;01/01/1900 17:44;79.27;147,40
66470000;Sao Jose do Borireu;16/06/2015;01/01/1900 08:52;78.8;150,10
66470000;Sao Jose do Borireu;09/02/2015;01/01/1900 17:13;81.09;243,00
66470000;Sao Jose do Borireu;24/09/2014;01/01/1900 09:08;76.57;19,20
66470000;Sao Jose do Borireu;05/06/2014;01/01/1900 17:08;78.92;194,00
66470000;Sao Jose do Borireu;10/02/2014;01/01/1900 17:30;81.26;319,10
66470000;Sao Jose do Borireu;28/08/2013;01/01/1900 15:15;74.5;76,00
66470000;Sao Jose do Borireu;07/06/2013;01/01/1900 11:25;82.47;351,60
66470000;Sao Jose do Borireu;12/03/2013;01/01/1900 19:00;82.6;335,60
66470000;Sao Jose do Borireu;16/07/2012;01/01/1900 17:15;77.8;80,00
66470000;Sao Jose do Borireu;20/04/2012;01/01/1900 08:21;79.4;162,80
66470000;Sao Jose do Borireu;23/11/2011;01/01/1900 18:36;75.6;148,90
66470000;Sao Jose do Borireu;26/08/2011;01/01/1900 14:20;72.2;84,87
66470000;Sao Jose do Borireu;12/05/2010;01/01/1900 18:25;78.7;118,52
66470000;Sao Jose do Borireu;12/05/2010;01/01/1900 17:45;78.7;118,52
66470000;Sao Jose do Borireu;25/01/2010;01/01/1900 18:30;87.4;166,52
66470000;Sao Jose do Borireu;19/10/2009;01/01/1900 18:00;73.3;109,04
66470000;Sao Jose do Borireu;23/07/2009;01/01/1900 12:15;75.3;125,67
66470000;Sao Jose do Borireu;31/03/2009;01/01/1900 09:00;88;365,60
66470000;Sao Jose do Borireu;24/09/2008;01/01/1900 10:35;70;139,92
66470000;Sao Jose do Borireu;26/06/2008;01/01/1900 12:10;80.2;166,65
66600000;Sao Jeronimo;07/02/2020;01/01/1900 10:23;136.7;517
66600000;Sao Jeronimo;24/11/2019;01/01/1900 10:48;133.16;28.6
66600000;Sao Jeronimo;26/05/2019;01/01/1900 11:11;138;14.5
66600000;Sao Jeronimo;22/02/2019;01/01/1900 11:01;134.9;15.5
66600000;Sao Jeronimo;17/11/2018;01/01/1900 10:27;134.9;29.1
66600000;Sao Jeronimo;19/05/2018;01/01/1900 11:25;136.7;16.7
66600000;Sao Jeronimo;16/02/2018;01/01/1900 10:16;134.88;32.9
66600000;Sao Jeronimo;01/11/2017;01/01/1900 09:25;123.16;14.7
66600000;Sao Jeronimo;05/08/2017;01/01/1900 11:45;132.2;11.2
66600000;Sao Jeronimo;05/06/2017;01/01/1900 11:25;133.39;230.8
66600000;Sao Jeronimo;19/02/2017;01/01/1900 12:10;136;8.9
66600000;Sao Jeronimo;17/09/2016;01/01/1900 11:09;132.53;18.7
66600000;Sao Jeronimo;12/06/2016;01/01/1900 11:48;133.87;18.7
66600000;Sao Jeronimo;25/02/2016;01/01/1900 11:54;121.18;16.6
66600000;Sao Jeronimo;23/09/2015;01/01/1900 12:30;133.29;21.2
66600000;Sao Jeronimo;16/06/2015;01/01/1900 12:15;131.2;11.9
66600000;Sao Jeronimo;15/02/2015;01/01/1900 12:26;136.56;85.1
66600000;Sao Jeronimo;30/09/2014;01/01/1900 11:46;130.45;160.1
66600000;Sao Jeronimo;12/06/2014;01/01/1900 11:22;136.84;24.6
66600000;Sao Jeronimo;15/02/2014;01/01/1900 10:45;136.82;21.4
66600000;Sao Jeronimo;07/09/2013;01/01/1900 11:35;120.94;14.7
66600000;Sao Jeronimo;03/06/2013;01/01/1900 11:40;124.66;16.6
66600000;Sao Jeronimo;06/03/2013;01/01/1900 11:38;138.1;5.5
66600000;Sao Jeronimo;22/07/2012;01/01/1900 11:42;132.4;8
66600000;Sao Jeronimo;27/04/2012;01/01/1900 10:49;135.9;15.8
66600000;Sao Jeronimo;26/11/2011;01/01/1900 11:02;132.4;23.4
66600000;Sao Jeronimo;04/09/2011;01/01/1900 11:38;129.7;16.37
66600000;Sao Jeronimo;09/05/2010;01/01/1900 11:16;134;15.56
66600000;Sao Jeronimo;01/02/2010;01/01/1900 11:06;137;29.63
66600000;Sao Jeronimo;26/10/2009;01/01/1900 11:58;133;17.76
66600000;Sao Jeronimo;30/07/2009;01/01/1900 13:28;131.6;16.21
66600000;Sao Jeronimo;26/03/2009;01/01/1900 11:20;135.2;11.9
66600000;Sao Jeronimo;02/10/2008;01/01/1900 11:54;130.5;20.02
66600000;Sao Jeronimo;03/07/2008;01/01/1900 12:50;133.7;22.04
66600000;Sao Jeronimo;01/12/2007;01/01/1900 11:15;131.7;22.5
66600000;Sao Jeronimo;01/08/2007;01/01/1900 17:10;131.2;12.49
66600000;Sao Jeronimo;20/04/2007;01/01/1900 12:04;134.6;16.51
66600000;Sao Jeronimo;21/07/2006;01/01/1900 08:42;130.5;19.3
66600000;Sao Jeronimo;26/10/2005;01/01/1900 17:30;132.1;37.14
66600000;Sao Jeronimo;28/10/2004;01/01/1900 13:20;132.4;30.23
