Nome da estação;Código;;;
Rosário Oeste;66250001;;;
;;;;
;;;;
;;;;
EstacaoCodigo;Data;Maxima;Minima;Media
66250001;01/12/2016;336;106;147
66250001;01/12/2016;336;106;147
66250001;01/12/2016;336;106;147
66250001;01/11/2016;242;92;141
66250001;01/11/2016;242;92;141
66250001;01/11/2016;242;92;141
66250001;01/10/2016;246;110;197
66250001;01/10/2016;246;110;197
66250001;01/10/2016;246;110;197
66250001;01/09/2016;188;186;187
66250001;01/09/2016;188;186;187
66250001;01/09/2016;188;186;187
66250001;01/08/2016;188;158;186
66250001;01/08/2016;188;158;186
66250001;01/08/2016;188;158;186
66250001;01/07/2016;188;186;187
66250001;01/07/2016;188;186;187
66250001;01/07/2016;188;186;187
66250001;01/06/2016;192;92;124
66250001;01/06/2016;192;92;124
66250001;01/06/2016;192;92;124
66250001;01/05/2016;108;98;103
66250001;01/05/2016;108;98;103
66250001;01/05/2016;108;98;103
66250001;01/04/2016;280;108;160
66250001;01/04/2016;280;108;160
66250001;01/04/2016;280;108;160
66250001;01/03/2016;618;200;339
66250001;01/03/2016;618;200;339
66250001;01/03/2016;618;200;339
66250001;01/02/2016;556;148;259
66250001;01/02/2016;556;148;259
66250001;01/02/2016;556;148;259
66250001;01/01/2016;556;118;265
66250001;01/01/2016;;;
66250001;01/01/2016;;;
66250001;01/12/2015;;;
66250001;01/12/2015;;;
66250001;01/12/2015;;;
66250001;01/11/2015;;;
66250001;01/11/2015;;;
66250001;01/11/2015;;;
66250001;01/10/2015;;;
66250001;01/10/2015;;;
66250001;01/10/2015;;;
66250001;01/09/2015;;;
66250001;01/09/2015;;;
66250001;01/09/2015;;;
66250001;01/08/2015;;;
66250001;01/08/2015;;;
66250001;01/08/2015;;;
66250001;01/07/2015;;;
66250001;01/07/2015;;;
66250001;01/07/2015;;;
66250001;01/06/2015;116;102;109
66250001;01/06/2015;116;102;109
66250001;01/06/2015;116;102;109
66250001;01/05/2015;242;110;151
66250001;01/05/2015;242;110;151
66250001;01/05/2015;242;110;151
66250001;01/04/2015;440;160;218
66250001;01/04/2015;440;160;218
66250001;01/04/2015;440;160;218
66250001;01/03/2015;256;138;184
66250001;01/03/2015;256;138;184
66250001;01/03/2015;256;138;184
66250001;01/02/2015;370;114;190
66250001;01/02/2015;370;114;190
66250001;01/02/2015;370;114;190
66250001;01/01/2015;270;226;247
66250001;01/01/2015;270;226;247
66250001;01/01/2015;270;226;247
66250001;01/12/2014;590;220;317
66250001;01/12/2014;590;220;317
66250001;01/12/2014;590;220;317
66250001;01/11/2014;350;100;171
66250001;01/11/2014;350;100;171
66250001;01/11/2014;350;100;171
66250001;01/10/2014;176;104;122
66250001;01/10/2014;176;104;122
66250001;01/10/2014;176;104;122
