Data;Descarga
02/02/1966;23570.5195
27/05/1966;3587.563
27/08/1966;2799.0503
23/11/1966;5427.426
14/04/1967;4814.1383
08/07/1967;2693.1851
21/10/1967;2606.3027
10/12/1967;4711.9237
14/03/1968;7924.3829
28/03/1968;5478.5333
11/02/1968;11690.5272
16/05/1968;3096.9329
28/08/1968;2003.2365
22/11/1968;3434.2411
27/01/1969;5279.746
18/05/1969;3514.8514
23/08/1969;1747.7
23/11/1969;3102.0436
13/03/1970;3553.746
13/06/1970;1543.2708
21/11/1970;2105.4511
15/03/1971;3944.3853
31/07/1971;1441.0562
28/10/1971;2169.3353
14/01/1972;4226.4043
04/03/1972;7004.4514
02/04/1972;4507.4945
19/02/1972;10228.3271
12/06/1972;2309.8804
20/09/1972;2360.9877
28/11/1972;5891.9053
01/11/1972;3587.563
13/02/1973;7464.5833
02/04/1973;4660.8164
26/06/1973;2386.5413
19/09/1973;2629.301
21/10/1973;5274.1041
30/11/1973;8340.5424
21/02/1974;9880.73
18/02/1974;15699.9945
28/03/1974;22269.7395
25/04/1974;12144.8511
14/05/1974;7075.6366
18/06/1974;4865.2456
17/08/1974;2999.829
10/11/1974;3664.224
12/12/1974;8895.9525
02/12/1974;6967.4154
29/11/1974;5274.1041
11/03/1975;12326.9123
02/04/1975;9975.9762
03/02/1975;14633.5113
30/04/1975;7612.2633
16/06/1975;4354.1726
09/09/1975;3556.8986
05/11/1975;7152.2976
17/10/1975;5274.1041
18/11/1975;10895.9077
11/01/1976;17003.2308
24/11/1975;15393.3506
15/02/1976;22124.1167
12/03/1976;19584.1497
26/03/1976;15086.7068
14/04/1976;12326.9123
13/05/1976;10129.2981
20/06/1976;7688.9243
22/07/1976;5674.2011
30/10/1976;8838.8387
01/12/1976;12122.4831
18/11/1976;10793.6931
31/12/1976;22139.515
17/12/1976;16313.2821
06/04/1977;20759.6177
28/04/1977;18766.4328
17/05/1977;12480.2342
24/06/1977;10913.7622
06/07/1977;7676.1475
18/09/1977;7267.289
04/11/1977;8723.8472
05/04/1978;24132.6999
23/04/1978;12365.2428
08/07/1978;10487.0493
22/07/1978;8608.8558
15/08/1978;7069.4305
21/10/1978;11237.3318
27/11/1978;22331.1674
26/12/1978;27107.1451
23/01/1979;33484.408
21/03/1979;27352.4602
19/04/1979;15240.0287
19/05/1979;9310.6524
01/07/1979;5382.8894
24/08/1979;5076.2456
24/09/1979;7088.4134
05/12/1979;10998.1223
24/12/1979;15802.2091
06/04/1980;19445.4299
29/02/1980;37643.8794
30/05/1980;6922.3147
25/08/1980;4812.2797
17/11/1980;7011.7525
17/11/1980;8340.5424
15/02/1981;18494.1701
29/03/1981;20464.2577
27/04/1981;9873.7616
27/04/1981;8110.5596
23/06/1981;6155.7051
30/08/1981;4924.0521
25/09/1981;6960.6452
24/10/1981;9528.7873
01/12/1981;12211.9208
13/12/1981;15597.7798
01/12/1981;14166.7753
08/01/1982;24094.3694
11/05/1982;18306.4671
27/05/1982;12224.6977
15/06/1982;10078.1908
08/08/1982;7911.2411
30/09/1982;7343.95
28/10/1982;9260.4739
