system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,cloud_qa_count,date,img_qual,lat,lon,nd_median,pixel_qa_median,radsat_qa_median,sensor,snow_ice_qa_count,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_LT05_225072_19840420_00000000000000000003,332.0,21,696.0,758.0,1028.0,459.0,2951.0,164.0,7.0,0,1984-04-20,9.0,-18.165530462538353,-54.471370712056775,-0.14205607476635515,66.0,0.0,LANDSAT_5,0,54.432056,47.004269,9.0,1.0,
1_LT05_225072_19840709_00000000000000000003,410.0,8,655.0,681.0,628.0,360.0,2955.0,247.0,0.0,0,1984-07-09,7.0,-18.165530462538353,-54.471370712056775,-0.3252108716026242,68.0,0.0,LANDSAT_5,0,45.026962,54.797207,9.0,32.0,
1_LT05_225072_19850218_00000000000000000003,622.0,13,1028.0,1308.0,1792.0,727.0,2883.0,398.0,33.0,2,1985-02-18,9.0,-18.165530462538353,-54.471370712056775,-0.17226197028068244,66.0,0.0,LANDSAT_5,0,87.120979,39.444988,97.0,1.0,
1_LT05_225072_19850610_00000000000000000003,333.0,14,727.0,792.0,548.0,311.0,2883.0,187.0,0.0,0,1985-06-10,9.0,-18.165530462538353,-54.471370712056775,-0.37044534412955465,68.0,0.0,LANDSAT_5,0,42.911877,54.08239,9.0,32.0,
1_LT05_225072_19850626_00000000000000000003,410.0,14,711.0,776.0,684.0,436.0,2933.0,194.0,0.0,0,1985-06-26,7.0,-18.165530462538353,-54.471370712056775,-0.25888324873096447,68.0,0.0,LANDSAT_5,0,43.335941,54.88266,9.0,32.0,
1_LT05_225072_19850712_00000000000000000003,417.0,13,742.0,804.0,666.0,389.0,2920.0,138.0,0.0,0,1985-07-12,7.0,-18.165530462538353,-54.471370712056775,-0.3121131741821397,68.0,0.0,LANDSAT_5,0,45.156223,54.381565,9.0,32.0,
1_LT05_225072_19850813_00000000000000000003,396.0,12,715.0,733.0,666.0,465.0,2942.0,255.0,0.0,0,1985-08-13,9.0,-18.165530462538353,-54.471370712056775,-0.17802197802197803,68.0,0.0,LANDSAT_5,0,52.095757,49.456879,8.0,32.0,
1_LT05_225072_19850829_00000000000000000003,1397.0,8,1488.0,1433.0,1680.0,757.0,2964.0,375.0,4.0,107,1985-08-29,9.0,-18.165530462538353,-54.471370712056775,-0.3253119429590018,96.0,0.0,LANDSAT_5,0,57.083447,45.493267,487.0,1.0,
1_LT05_225072_19850914_00000000000000000003,1579.0,11,1751.0,1569.0,1833.0,773.0,2986.0,379.0,4.0,0,1985-09-14,9.0,-18.165530462538353,-54.471370712056775,-0.40123934934159566,66.0,0.0,LANDSAT_5,0,63.275948,41.126808,965.0,4.0,
1_LT05_225072_19850930_00000000000000000003,517.0,6,839.0,941.0,955.0,694.0,2915.0,451.0,61.0,0,1985-09-30,9.0,-18.165530462538353,-54.471370712056775,-0.059343434343434344,68.0,0.0,LANDSAT_5,0,70.939034,36.979805,45.0,4.0,
1_LT05_225072_19851016_00000000000000000003,482.0,14,736.0,763.0,938.0,507.0,2998.0,267.0,0.0,0,1985-10-16,7.0,-18.165530462538353,-54.471370712056775,-0.16222062004325882,68.0,0.0,LANDSAT_5,0,80.047768,33.758072,109.0,1.0,
1_LT05_225072_19851117_00000000000000000003,480.0,13,825.0,838.0,918.0,432.0,3032.0,218.0,9.0,0,1985-11-17,7.0,-18.165530462538353,-54.471370712056775,-0.3126491646778043,66.0,0.0,LANDSAT_5,0,98.364403,31.947308,118.0,1.0,
1_LT05_225072_19851203_00000000000000000003,767.0,1,1124.0,1305.0,1745.0,898.0,2897.0,499.0,26.0,0,1985-12-03,9.0,-18.165530462538353,-54.471370712056775,-0.11177052423343224,66.0,0.0,LANDSAT_5,0,104.109802,33.130714,375.0,0.0,
1_LT05_225072_19860410_00000000000000000003,479.0,17,789.0,886.0,1301.0,499.0,2947.0,240.0,18.0,0,1986-04-10,9.0,-18.165530462538353,-54.471370712056775,-0.1697553743513714,66.0,0.0,LANDSAT_5,0,59.474735,45.671253,143.0,1.0,
1_LT05_225072_19860426_00000000000000000003,819.0,5,1231.0,1279.0,1676.0,954.0,2869.0,488.0,26.0,25,1986-04-26,9.0,-18.165530462538353,-54.471370712056775,-0.1616871704745167,96.0,0.0,LANDSAT_5,0,52.719208,48.34306,122.0,1.0,
1_LT05_225072_19860715_00000000000000000003,504.0,11,765.0,733.0,746.0,366.0,2929.0,196.0,1.0,0,1986-07-15,9.0,-18.165530462538353,-54.471370712056775,-0.3203342618384401,68.0,0.0,LANDSAT_5,0,46.980125,55.403591,34.0,0.0,
