system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;cloud_cover;cloud_qa_count;date;img_qual;station_nm;site_no;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;snow_ice_qa_count;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225072_19840420_00000000000000000003;332;21;696;758;1028;459;2951;164;7;0;20/04/1984;9;PCH PONTE ALTA JUSANTE;66861000;-19.41323153;-54.45892982;-0.019480519;66;0;LANDSAT_5;0;46.373268;55.820339;14;0;
1_LT05_225072_19840709_00000000000000000003;410;8;655;681;628;360;2955;247;0;0;09/07/1984;7;PCH PONTE ALTA JUSANTE;66861000;-19.41323153;-54.45892982;-0.115913556;96;0;LANDSAT_5;0;62.472572;33.376987;579;8;
1_LT05_225072_19850218_00000000000000000003;622;13;1028;1308;1792;727;2883;398;33;2;18/02/1985;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.19368001;68;0;LANDSAT_5;0;53.555485;48.024506;9;32;
1_LT05_225072_19850610_00000000000000000003;333;14;727;792;548;311;2883;187;0;0;10/06/1985;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.058354115;68;0;LANDSAT_5;0;47.150917;54.238045;9;32;
1_LT05_225072_19850626_00000000000000000003;410;14;711;776;684;436;2933;194;0;0;26/06/1985;7;Garimpagem;66855000;-18.71519047;-54.56449904;-0.011779293;66;0;LANDSAT_5;0;50.75502;51.236408;61;1;
1_LT05_225072_19850712_00000000000000000003;417;13;742;804;666;389;2920;138;0;0;12/07/1985;7;Garimpagem;66855000;-18.71519047;-54.56449904;-0.213217939;68;0;LANDSAT_5;0;55.301926;47.23801;9;32;
1_LT05_225072_19850813_00000000000000000003;396;12;715;733;666;465;2942;255;0;0;13/08/1985;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.112714279;66;0;LANDSAT_5;0;76.380646;34.543953;137;1;
1_LT05_225072_19850829_00000000000000000003;1397;8;1488;1433;1680;757;2964;375;4;107;29/08/1985;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.192692247;67;0;LANDSAT_5;0;51.331535;50.516827;9;16;
1_LT05_225072_19850914_00000000000000000003;1579;11;1751;1569;1833;773;2986;379;4;0;14/09/1985;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.268782141;67;0;LANDSAT_5;0;78.086281;34.242443;27;1;
1_LT05_225072_19850930_00000000000000000003;517;6;839;941;955;694;2915;451;61;0;30/09/1985;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.197384067;66;0;LANDSAT_5;0;101.954475;33.01627;224;1;
1_LT05_225072_19851016_00000000000000000003;482;14;736;763;938;507;2998;267;0;0;16/10/1985;7;Garimpagem;66855000;-18.71519047;-54.56449904;-0.220796759;66;0;LANDSAT_5;0;84.386414;40.866497;67;1;
1_LT05_225072_19851117_00000000000000000003;480;13;825;838;918;432;3032;218;9;0;17/11/1985;7;Garimpagem;66855000;-18.71519047;-54.56449904;-0.223529412;66;0;LANDSAT_5;0;66.533607;44.186157;12;1;
1_LT05_225072_19851203_00000000000000000003;767;1;1124;1305;1745;898;2897;499;26;0;03/12/1985;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.069948187;66;0;LANDSAT_5;0;58.46656;46.596931;37;1;
1_LT05_225072_19860410_00000000000000000003;479;17;789;886;1301;499;2947;240;18;0;10/04/1986;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.098782138;66;0;LANDSAT_5;0;51.909573;49.39254;9;1;
1_LT05_225072_19860426_00000000000000000003;819;5;1231;1279;1676;954;2869;488;26;25;26/04/1986;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.20589979;68;0;LANDSAT_5;0;47.236454;52.263145;9;16.5;
1_LT05_225072_19860715_00000000000000000003;504;11;765;733;746;366;2929;196;1;0;15/07/1986;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.145554681;68;0;LANDSAT_5;0;44.521061;54.785042;9;1;
1_LT05_225072_19870107_00000000000000000003;427;22;841;1062;1319;478;2964;205;1;0;07/01/1987;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.121423047;66;0;LANDSAT_5;0;43.651115;56.550495;9;1;
1_LT05_225072_19870312_00000000000000000003;427;22;900;1133;1286;402;2933;181;0;0;12/03/1987;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.07424072;66;0;LANDSAT_5;0;44.381321;57.198769;36;0;
1_LT05_225072_19870413_00000000000000000003;376;21;765;892;1009;420;2964;160;0;0;13/04/1987;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.133559322;66;0;LANDSAT_5;0;46.442696;56.546619;9;1;
1_LT05_225072_19870531_00000000000000000003;405;20;731;750;950;469;2938;194;3;0;31/05/1987;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.176970493;67;0;LANDSAT_5;0;49.579403;54.549198;9;16.5;
1_LT05_225072_19870702_00000000000000000003;457;14;731;797;823;374;2938;257;0;0;02/07/1987;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.132851751;66;0;LANDSAT_5;0;102.684654;38.834469;9;1;
1_LT05_225072_19870718_00000000000000000003;560;15;828;792;897;511;2947;247;11;0;18/07/1987;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.227830832;66;0;LANDSAT_5;0;74.583847;43.632439;9;32;
1_LT05_225072_19870803_00000000000000000003;513;17;774;831;766;567;2929;274;2;0;03/08/1987;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.218505338;68;0;LANDSAT_5;0;57.762035;47.59671;9;32;
1_LT05_225072_19870819_00000000000000000003;839;13;987;945;1071;622;2933;343;0;3;19/08/1987;9;Garimpagem;66855000;-18.71519047;-54.56449904;-0.174234106;96;0;LANDSAT_5;0;51.338364;50.226471;120;20;
