system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,BQA_median,cloud_cover,date,img_qual,station_nm,site_no,lat,lon,nd_median,.geo
1_LT05_227072_19840808_00000000000000000002,0.124257281,106,0.106495,0.092234001,0.057268601,0.014387167,296.3998108,0.006939428,672,14,08/08/1984,9,Amolar,66800000,-18.03903914,-57.488015,-0.761963781,
1_LT05_227072_19840909_00000000000000000002,0.121777393,102,0.109779082,0.099383742,0.063208431,0.014679479,295.0913696,0.005886011,672,23,09/09/1984,9,Amolar,66800000,-18.03903914,-57.488015,-0.764106555,
1_LT05_227072_19850320_00000000000000000002,0.108023852,123,0.087629169,0.070027813,0.075520702,0.0382751,289.7124634,0.025726948,672,11,20/03/1985,9,Amolar,66800000,-18.03903914,-57.488015,-0.391996786,
1_LT05_227072_19850421_00000000000000000002,0.091956668,117,0.068822615,0.048082449,0.036282469,0.013044949,296.3998108,0.006293158,672,9,21/04/1985,9,Amolar,66800000,-18.03903914,-57.488015,-0.68131582,
1_LT05_227072_19850523_00000000000000000002,0.093356542,115,0.07011655,0.047150679,0.032242082,0.008779228,294.6521301,0.007129495,672,8,23/05/1985,7,Amolar,66800000,-18.03903914,-57.488015,-0.765787664,
1_LT05_227072_19850710_00000000000000000002,0.109594665,106,0.091879286,0.070070781,0.03925962,0.015820578,291.0799866,0.007632418,672,28,10/07/1985,9,Amolar,66800000,-18.03903914,-57.488015,-0.717248479,
1_LT05_227072_19851014_00000000000000000002,0.118211687,92,0.115846828,0.115985438,0.071268842,0.019334853,295.5290527,0.011161191,672,3,14/10/1985,7,Amolar,66800000,-18.03903914,-57.488015,-0.719820148,
1_LT05_227072_19851115_00000000000000000002,0.117134877,90,0.119274728,0.121387757,0.080631286,0.022701619,297.2645264,0.010705329,672,1,15/11/1985,9,Amolar,66800000,-18.03903914,-57.488015,-0.680205617,
1_LT05_227072_19851201_00000000000000000002,0.121558338,90,0.11993704,0.11951527,0.084166408,0.016558774,300.2453003,0.007864412,672,0,01/12/1985,7,Amolar,66800000,-18.03903914,-57.488015,-0.757373162,
1_LT05_227072_19860408_00000000000000000002,0.10023082,106,0.080385387,0.068732478,0.046676811,0.010106455,295.0913696,0.006116929,672,62,08/04/1986,7,Amolar,66800000,-18.03903914,-57.488015,-0.767992249,
1_LT05_227072_19860424_00000000000000000002,0.081580594,97,0.060170207,0.049519408,0.029308748,0.007979805,298.1233215,0.002693858,672,0,24/04/1986,9,Amolar,66800000,-18.03903914,-57.488015,-0.765816485,
1_LT05_227072_19860510_00000000000000000002,0.088804953,100,0.064202309,0.052841339,0.031274561,0.008514642,295.5290527,0.002875126,672,14,10/05/1986,9,Amolar,66800000,-18.03903914,-57.488015,-0.765814113,
1_LT05_227072_19860611_00000000000000000002,0.091615595,105,0.067637362,0.051225454,0.030213747,0.009536756,294.2113342,0.003220276,672,0,11/06/1986,7,Amolar,66800000,-18.03903914,-57.488015,-0.765799496,
1_LT05_227072_19860627_00000000000000000002,0.097752258,105,0.077937894,0.060551498,0.035839722,0.009758875,294.6521301,0.007925026,672,0,27/06/1986,7,Amolar,66800000,-18.03903914,-57.488015,-0.777440493,
1_LT05_227072_19860713_00000000000000000002,0.106508903,102,0.085644938,0.071899705,0.040285081,0.009641964,293.7689209,0.007830327,672,3,13/07/1986,9,Amolar,66800000,-18.03903914,-57.488015,-0.797622469,
1_LT05_227072_19860729_00000000000000000002,0.118726999,102,0.102369219,0.084003903,0.04775501,0.012352519,293.7689209,0.007476658,672,18,29/07/1986,9,Amolar,66800000,-18.03903914,-57.488015,-0.784652517,
1_LT05_227072_19860830_00000000000000000002,0.119513616,101,0.10884928,0.098260887,0.052846156,0.010579317,293.3248901,0.006403935,672,12,30/08/1986,9,Amolar,66800000,-18.03903914,-57.488015,-0.817441395,
1_LT05_227072_19860915_00000000000000000002,0.147606194,101,0.132933483,0.117925927,0.089123137,0.017214568,295.5290527,0.00935681,672,0,15/09/1986,9,Amolar,66800000,-18.03903914,-57.488015,-0.76030952,
1_LT05_227072_19861001_00000000000000000002,0.115529232,96,0.112004235,0.107309021,0.062665939,0.013756843,295.5290527,0.005516477,672,1,01/10/1986,9,Amolar,66800000,-18.03903914,-57.488015,-0.781222562,
1_LT05_227072_19870427_00000000000000000002,0.089742959,106,0.064895697,0.047028966,0.033942893,0.00812385,294.2113342,0.002743048,672,10,27/04/1987,9,Amolar,66800000,-18.03903914,-57.488015,-0.765830414,
1_LT05_227072_19870529_00000000000000000002,0.091841288,102,0.065022767,0.045418505,0.033672139,0.009167188,291.5323486,0.003096363,672,7,29/05/1987,7,Amolar,66800000,-18.03903914,-57.488015,-0.752872531,
1_LT05_227072_19870716_00000000000000000002,0.108583249,102,0.088422343,0.074622177,0.044379082,0.012716239,297.6946411,0.007695829,672,0,16/07/1987,9,Amolar,66800000,-18.03903914,-57.488015,-0.748538312,
1_LT05_227072_19870801_00000000000000000002,0.102752566,99,0.095716313,0.085577369,0.037469227,0.008968893,292.8792419,0.007284516,672,0,01/08/1987,9,Amolar,66800000,-18.03903914,-57.488015,-0.828650238,
1_LT05_227072_19871105_00000000000000000002,0.140582204,89,0.144740567,0.147746012,0.136793911,0.052144118,288.3288574,0.031105479,928,23,05/11/1987,7,Amolar,66800000,-18.03903914,-57.488015,-0.47038407,
1_LT05_227072_19871121_00000000000000000002,0.115966059,92,0.119365811,0.126551449,0.080692738,0.012321937,297.2645264,0.007827123,672,0,21/11/1987,9,Amolar,66800000,-18.03903914,-57.488015,-0.812861302,
1_LT05_227072_19871223_00000000000000000002,0.10747692,93,0.105744049,0.11165639,0.070208929,0.012645653,297.2645264,0.005071345,672,15,23/12/1987,7,Amolar,66800000,-18.03903914,-57.488015,-0.786372409,
1_LT05_227072_19880225_00000000000000000002,0.078765877,103,0.050924208,0.039095353,0.028215712,0.006754066,293.7689209,0.002280305,672,39,25/02/1988,9,Amolar,66800000,-18.03903914,-57.488015,-0.765802081,
1_LT05_227072_19880328_00000000000000000002,0.082359321,118,0.057416338,0.041609682,0.026402494,0.007187512,294.6521301,0.005838146,672,36,28/03/1988,7,Amolar,66800000,-18.03903914,-57.488015,-0.777489678,
1_LT05_227072_19880515_00000000000000000002,0.090629458,114,0.064253487,0.045773953,0.0312999,0.008522222,294.2113342,0.002878068,672,3,15/05/1988,9,Amolar,66800000,-18.03903914,-57.488015,-0.765794879,
1_LT05_227072_19880702_00000000000000000002,0.094712593,101,0.071282677,0.054723177,0.029950818,0.009454277,295.9651794,0.003191224,672,0,02/07/1988,9,Amolar,66800000,-18.03903914,-57.488015,-0.765800497,
1_LT05_227072_19880803_00000000000000000002,0.122739822,104,0.104368962,0.090137526,0.058218934,0.020563604,293.3248901,0.011176712,672,0,03/08/1988,9,Amolar,66800000,-18.03903914,-57.488015,-0.670804741,
1_LT05_227072_19880819_00000000000000000002,0.121899232,99,0.111012377,0.096860372,0.053895414,0.013540523,296.8329163,0.006530745,672,0,19/08/1988,9,Amolar,66800000,-18.03903914,-57.488015,-0.78257394,
1_LT05_227072_19880904_00000000000000000002,0.157832906,98,0.138601229,0.129273981,0.105643801,0.03269783,294.6521301,0.016545409,672,14,04/09/1988,9,Amolar,66800000,-18.03903914,-57.488015,-0.618236895,
1_LT05_227072_19881006_00000000000000000002,0.168096855,77,0.149701238,0.139615253,0.114900522,0.026301511,294.2113342,0.011363267,672,3,06/10/1988,9,Amolar,66800000,-18.03903914,-57.488015,-0.701123864,
1_LT05_227072_19881022_00000000000000000002,0.124410659,95,0.124277204,0.123659223,0.08213678,0.014658621,295.9651794,0.007967553,672,3,22/10/1988,9,Amolar,66800000,-18.03903914,-57.488015,-0.784693278,
1_LT05_227072_19881107_00000000000000000002,0.126870632,92,0.121749625,0.118617937,0.08353281,0.014361513,299.4007263,0.007805749,672,0,07/11/1988,9,Amolar,66800000,-18.03903914,-57.488015,-0.78897373,
1_LT05_227072_19881123_00000000000000000002,0.141532317,68,0.14586322,0.148651436,0.135299176,0.053643275,291.9829712,0.030765079,672,83,23/11/1988,9,Amolar,66800000,-18.03903914,-57.488015,-0.476455983,
1_LT05_227072_19890315_00000000000000000002,0.085731961,108,0.062015668,0.049149234,0.03269279,0.009367884,296.3998108,0.005670231,672,26,15/03/1989,7,Amolar,66800000,-18.03903914,-57.488015,-0.737533818,
1_LT05_227072_19890416_00000000000000000002,0.09391769,113,0.071357071,0.053840373,0.031953674,0.007648369,293.7689209,0.002583165,672,28,16/04/1989,7,Amolar,66800000,-18.03903914,-57.488015,-0.79761768,
1_LT05_227072_19890518_00000000000000000002,0.092257276,114,0.065409228,0.050216034,0.031864639,0.008675083,294.2113342,0.007045073,672,5,18/05/1989,9,Amolar,66800000,-18.03903914,-57.488015,-0.75285685,
1_LT05_227072_19890721_00000000000000000002,0.10039708,107,0.078122534,0.061335977,0.034018125,0.009262389,294.2113342,0.003128314,672,0,21/07/1989,9,Amolar,66800000,-18.03903914,-57.488015,-0.788009457,
1_LT05_227072_19890806_00000000000000000002,0.10698849,105,0.092981212,0.083136953,0.040797014,0.01169114,292.4319458,0.007075058,672,29,06/08/1989,9,Amolar,66800000,-18.03903914,-57.488015,-0.784635206,
1_LT05_227072_19890907_00000000000000000002,0.153537333,109,0.142159119,0.126405761,0.102085635,0.035288915,290.625885,0.023610163,672,45,07/09/1989,9,Amolar,66800000,-18.03903914,-57.488015,-0.594684515,
1_LT05_227072_19891025_00000000000000000002,0.117986329,91,0.117162406,0.11450208,0.067198887,0.021225978,294.2113342,0.013987144,672,1,25/10/1989,9,Amolar,66800000,-18.03903914,-57.488015,-0.699322838,
1_LT05_227072_19891126_00000000000000000002,0.117502533,94,0.118183263,0.12308412,0.084870465,0.023018982,295.9651794,0.010855567,672,7,26/11/1989,9,Amolar,66800000,-18.03903914,-57.488015,-0.673957276,
1_LT05_227072_19891228_00000000000000000002,0.111422949,100,0.105480783,0.10639853,0.062246382,0.010771186,293.7689209,0.005194761,672,25,28/12/1989,7,Amolar,66800000,-18.03903914,-57.488015,-0.81469241,
1_LT05_227072_19900129_00000000000000000002,0.1264534,101,0.116575837,0.111531109,0.112644508,0.052545719,285.5109253,0.034080252,672,88,29/01/1990,7,Amolar,66800000,-18.03903914,-57.488015,-0.378604122,
1_LT05_227072_19900214_00000000000000000002,0.122262508,112,0.097726479,0.07973358,0.090955451,0.044357188,288.3288574,0.03159691,928,16,14/02/1990,9,Amolar,66800000,-18.03903914,-57.488015,-0.361838324,
1_LT05_227072_19900318_00000000000000000002,0.126494139,80,0.103498958,0.090498894,0.081664383,0.039530545,289.7124634,0.023126148,672,46,18/03/1990,7,Amolar,66800000,-18.03903914,-57.488015,-0.434777286,
1_LT05_227072_19900403_00000000000000000002,0.086753339,105,0.06725736,0.0533043,0.035455942,0.007571486,295.9651794,0.006149707,672,12,03/04/1990,7,Amolar,66800000,-18.03903914,-57.488015,-0.788035012,
1_LT05_227072_19900521_00000000000000000002,0.096301019,105,0.07638301,0.059969574,0.037831616,0.015245854,290.625885,0.011650675,672,0,21/05/1990,9,Amolar,66800000,-18.03903914,-57.488015,-0.667225952,
1_LT05_227072_19900708_00000000000000000002,0.104656808,105,0.08300785,0.069276571,0.0411123,0.009840629,292.4319458,0.003323142,672,6,08/07/1990,9,Amolar,66800000,-18.03903914,-57.488015,-0.788028211,
1_LT05_227072_19900724_00000000000000000002,0.087096222,159,0.058698732,0.0429723,0.034786664,0.00947064,287.3972168,0.003197459,928,29,24/07/1990,9,Amolar,66800000,-18.03903914,-57.488015,-0.738405294,
1_LT05_227072_19900809_00000000000000000002,0.117790692,103,0.102390431,0.084466435,0.045917317,0.011876984,294.6521301,0.007188529,672,0,09/08/1990,9,Amolar,66800000,-18.03903914,-57.488015,-0.792119501,
1_LT05_227072_19900910_00000000000000000002,0.117979966,99,0.113287017,0.102563255,0.057676021,0.012593223,294.2113342,0.006074286,672,0,10/09/1990,9,Amolar,66800000,-18.03903914,-57.488015,-0.7999174,
1_LT05_227072_19910217_00000000000000000002,0.100337856,96,0.089080207,0.088869192,0.063661136,0.016334545,294.2113342,0.008878056,672,19,17/02/1991,7,Amolar,66800000,-18.03903914,-57.488015,-0.690089962,
1_LT05_227072_19910524_00000000000000000002,0.087090932,106,0.064299367,0.048695754,0.028722188,0.005965958,294.6521301,0.003060695,672,9,24/05/1991,9,Amolar,66800000,-18.03903914,-57.488015,-0.819784276,
1_LT05_227072_19910727_00000000000000000002,0.130604044,107,0.111051664,0.092055283,0.080612019,0.02187987,292.8792419,0.011892268,672,0,27/07/1991,9,Amolar,66800000,-18.03903914,-57.488015,-0.670809931,
1_LT05_227072_19910929_00000000000000000002,0.165264487,101,0.148001313,0.138029754,0.120568931,0.03222844,293.7689209,0.015136317,672,16,29/09/1991,9,Amolar,66800000,-18.03903914,-57.488015,-0.642362712,
1_LT05_227072_19911015_00000000000000000002,0.146162644,96,0.140355587,0.138934225,0.120826572,0.032759182,295.5290527,0.017401379,672,0,15/10/1991,9,Amolar,66800000,-18.03903914,-57.488015,-0.621532209,
1_LT05_227072_19911202_00000000000000000002,0.134418428,32,0.115809359,0.09512312,0.213153854,0.084396139,294.2113342,0.037299387,672,83,02/12/1991,9,Amolar,66800000,-18.03903914,-57.488015,-0.156904882,
