EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total
1854004;2;01/12/1980;1;;197
1854004;2;01/11/1980;1;35.9;146.8
1854004;2;01/10/1980;1;36.8;98.1
1854004;2;01/09/1980;1;29.3;85.7
1854004;2;01/08/1980;1;0.7;0.7
1854004;2;01/07/1980;1;0.7;3.3
1854004;2;01/06/1980;1;20.2;26
1854004;2;01/05/1980;1;16.6;24.2
1854004;2;01/04/1980;1;21.6;45.2
1854004;2;01/03/1980;1;12.8;28.3
1854004;2;01/02/1980;1;51;200.7
1854004;2;01/01/1980;1;48;207
1854004;2;01/12/1979;1;28.6;194.3
1854004;2;01/11/1979;1;38.2;121.9
1854004;2;01/10/1979;1;33.2;57.9
1854004;2;01/09/1979;1;40.5;142.4
1854004;2;01/08/1979;1;8.1;16.7
1854004;2;01/07/1979;1;14.8;49.7
1854004;2;01/06/1979;1;0;0
1854004;2;01/05/1979;1;19.7;67.9
1854004;2;01/04/1979;1;41.7;72
1854004;2;01/03/1979;1;102.5;212.7
1854004;2;01/02/1979;1;19.7;55.6
1854004;2;01/01/1979;1;;207
1854004;2;01/12/1978;1;29.8;62.6
1854004;2;01/11/1978;1;180.8;338
1854004;2;01/10/1978;1;26;70.2
1854004;2;01/09/1978;1;41.7;74.1
1854004;2;01/08/1978;1;0;0
1854004;2;01/07/1978;1;14.7;15.7
1854004;2;01/06/1978;1;6.7;6.7
1854004;2;01/05/1978;1;42.4;100
1854004;2;01/04/1978;1;4.7;8.5
1854004;2;01/03/1978;1;28.3;80.8
1854004;2;01/02/1978;1;86.2;207.2
1854004;2;01/01/1978;1;64.6;392
1854004;2;01/12/1977;1;79.8;308
1854004;2;01/11/1977;1;;137.9
1854004;2;01/10/1977;1;;100
1854004;2;01/09/1977;1;41.5;110.7
1854004;2;01/08/1977;1;10.4;14.6
1854004;2;01/07/1977;1;9.6;9.6
1854004;2;01/06/1977;1;27.6;56.1
1854004;2;01/05/1977;1;32;75
1854004;2;01/04/1977;1;52.4;144.1
1854004;2;01/03/1977;1;13;56
1854004;2;01/02/1977;1;74.2;272.1
1854004;2;01/01/1977;1;82.7;400.9
1854004;2;01/12/1976;1;43;218.5
1854004;2;01/11/1976;1;49.1;216.6
1854004;2;01/10/1976;1;54.4;214.1
1854004;2;01/09/1976;1;20.4;58.4
1854004;2;01/08/1976;1;25.2;53.1
1854004;2;01/07/1976;1;0;0
1854004;2;01/06/1976;1;2.1;3.2
1854004;2;01/05/1976;1;19.1;20.2
1854004;2;01/04/1976;1;27.8;61.8
1854004;2;01/03/1976;1;51.5;213.2
1854004;2;01/02/1976;1;43.3;150.4
1854004;2;01/01/1976;1;26.8;143
1854004;2;01/12/1973;1;94.3;263.8
1854004;2;01/11/1973;1;56.7;292.4
1854004;2;01/10/1973;1;;250
1854004;2;01/09/1973;1;;29
1854004;2;01/08/1973;1;;0
1854004;2;01/07/1973;1;;10
1854004;2;01/06/1973;1;;4
1854004;2;01/05/1973;1;;22
1854004;2;01/04/1973;1;;39
1854004;2;01/03/1973;1;;88
1854004;2;01/02/1973;1;;206
1854004;2;01/01/1973;1;;192
1854004;2;01/12/1972;1;29.8;121.2
1854004;2;01/11/1972;1;104.6;310.8
1854004;2;01/10/1972;1;44.8;125.5
