Total;Data
286;01/01/1981
199;01/02/1981
131;01/03/1981
37;01/04/1981
6;01/05/1981
57;01/06/1981
7;01/07/1981
16;01/08/1981
41;01/09/1981
179;01/10/1981
146;01/11/1981
230;01/12/1981
304;01/01/1982
268;01/02/1982
234;01/03/1982
62;01/04/1982
75;01/05/1982
11;01/06/1982
34;01/07/1982
40;01/08/1982
79;01/09/1982
112;01/10/1982
148;01/11/1982
252;01/12/1982
254;01/01/1983
128;01/02/1983
115;01/03/1983
61;01/04/1983
120;01/05/1983
6;01/06/1983
33;01/07/1983
9;01/08/1983
21;01/09/1983
159;01/10/1983
255;01/11/1983
231;01/12/1983
223;01/01/1984
156;01/02/1984
160;01/03/1984
179;01/04/1984
51;01/05/1984
0;01/06/1984
6;01/07/1984
61;01/08/1984
40;01/09/1984
86;01/10/1984
201;01/11/1984
192;01/12/1984
347;01/01/1985
201;01/02/1985
185;01/03/1985
132;01/04/1985
47;01/05/1985
11;01/06/1985
33;01/07/1985
16;01/08/1985
53;01/09/1985
109;01/10/1985
159;01/11/1985
153;01/12/1985
207;01/01/1986
222;01/02/1986
191;01/03/1986
47;01/04/1986
106;01/05/1986
0;01/06/1986
12;01/07/1986
136;01/08/1986
38;01/09/1986
42;01/10/1986
165;01/11/1986
259;01/12/1986
238;01/01/1987
193;01/02/1987
186;01/03/1987
131;01/04/1987
40;01/05/1987
18;01/06/1987
8;01/07/1987
20;01/08/1987
11;01/09/1987
166;01/10/1987
112;01/11/1987
307;01/12/1987
255;01/01/1988
258;01/02/1988
354;01/03/1988
151;01/04/1988
68;01/05/1988
8;01/06/1988
7;01/07/1988
10;01/08/1988
31;01/09/1988
91;01/10/1988
143;01/11/1988
280;01/12/1988
275;01/01/1989
317;01/02/1989
172;01/03/1989
130;01/04/1989
34;01/05/1989
36;01/06/1989
29;01/07/1989
70;01/08/1989
14;01/09/1989
110;01/10/1989
214;01/11/1989
268;01/12/1989
231;01/01/1990
211;01/02/1990
162;01/03/1990
75;01/04/1990
127;01/05/1990
11;01/06/1990
11;01/07/1990
54;01/08/1990
151;01/09/1990
178;01/10/1990
135;01/11/1990
165;01/12/1990
433;01/01/1991
146;01/02/1991
192;01/03/1991
111;01/04/1991
39;01/05/1991
32;01/06/1991
11;01/07/1991
10;01/08/1991
58;01/09/1991
128;01/10/1991
135;01/11/1991
179;01/12/1991
278;01/01/1992
154;01/02/1992
118;01/03/1992
152;01/04/1992
87;01/05/1992
14;01/06/1992
7;01/07/1992
36;01/08/1992
96;01/09/1992
181;01/10/1992
159;01/11/1992
194;01/12/1992
246;01/01/1993
235;01/02/1993
144;01/03/1993
60;01/04/1993
79;01/05/1993
40;01/06/1993
15;01/07/1993
16;01/08/1993
66;01/09/1993
122;01/10/1993
81;01/11/1993
211;01/12/1993
193;01/01/1994
231;01/02/1994
125;01/03/1994
98;01/04/1994
57;01/05/1994
28;01/06/1994
29;01/07/1994
12;01/08/1994
12;01/09/1994
135;01/10/1994
