EstacaoCodigo;Data;Maxima;Minima;Media
66380000;01/08/2019;29.288;23.971;25.955
66380000;01/07/2019;35.756;29.74;33.636
66380000;01/06/2019;51.466;36.702;43.804
66380000;01/05/2019;126.841;51.976;79.181
66380000;01/04/2019;375.937;70.435;125.573
66380000;01/03/2019;112.86;64.508;88.244
66380000;01/02/2019;291.058;59.742;98.713
66380000;01/01/2019;121.94;68.808;85.383
66380000;01/12/2018;181.244;55.572;81.245
66380000;01/11/2018;143.676;40.535;77.529
66380000;01/10/2018;63.975;28.386;44.502
66380000;01/09/2018;51.466;21.4;28.958
66380000;01/08/2018;27.491;24.841;25.99
66380000;01/07/2018;33.881;27.491;29.882
66380000;01/06/2018;41.506;33.881;37.227
66380000;01/05/2018;59.742;39.569;50.666
66380000;01/04/2018;235.845;56.608;102.22
66380000;01/03/2018;301.351;69.864;118.738
66380000;01/02/2018;136.826;55.919;86.245
66380000;01/01/2018;107.18;48.548;73.922
66380000;01/12/2017;179.892;49.514;80.588
66380000;01/11/2017;69.864;27.03;47.287
66380000;01/10/2017;36.027;20.672;23.676
66380000;01/09/2017;21.441;19.91;20.267
66380000;01/08/2017;27.856;21.441;24.657
66380000;01/07/2017;28.689;24.592;26.359
66380000;01/06/2017;37.367;28.689;31.456
66380000;01/05/2017;48.548;38.268;41.595
66380000;01/04/2017;71.465;44.734;54.22
66380000;01/03/2017;136.189;63.046;89.608
66380000;01/02/2017;143.887;48.548;94.296
66380000;01/01/2017;108.975;45.679;59.116
66380000;01/12/2016;108.975;44.734;61.332
66380000;01/11/2016;109.575;33.386;52.141
66380000;01/10/2016;;;
66380000;01/09/2016;;;
66380000;01/08/2016;;;
66380000;01/07/2016;;;
66380000;01/06/2016;34.7;28.689;31.431
66380000;01/05/2016;42.859;34.7;38.347
66380000;01/04/2016;81.821;41.93;54.507
66380000;01/03/2016;343.804;61.499;116.666
66380000;01/02/2016;104.207;50.486;75.064
66380000;01/01/2016;220.861;43.793;88.413
66380000;01/12/2015;58.438;38.268;47.463
66380000;01/11/2015;50.486;30.375;36.949
66380000;01/10/2015;38.268;26.21;29.515
66380000;01/09/2015;36.027;27.856;28.577
66380000;01/08/2015;32.951;27.856;30.322
66380000;01/07/2015;58.438;32.951;38.11
66380000;01/06/2015;50.486;39.175;43.991
66380000;01/05/2015;81.821;50.486;67.222
66380000;01/04/2015;160.952;84.608;104.942
66380000;01/03/2015;347.899;101.256;148.47
66380000;01/02/2015;421.456;57.427;115.978
66380000;01/01/2015;122.996;57.427;79.418
66380000;01/12/2014;127.529;46.433;72.016
66380000;01/11/2014;75.434;23.171;39.157
