system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;Codigo;Estacao;cloud_cover;cloud_qa_count;date;img_qual;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225073_19840420_00000000000000000000;410;8;873;1179;807;118;2947;75;66870000;COXIM;2;0;20/04/1984;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.76185671;68;0;LANDSAT_5;53.555.485;48.024.506;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19840725_00000000000000000000;526;7;863;954;594;237;2915;134;66870000;COXIM;4;0;25/07/1984;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.548141087;68;0;LANDSAT_5;47.150.917;54.238.045;10;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19840810_00000000000000000000;720;8;1000;1035;750;220;2955;173;66870000;COXIM;6;0;10/08/1984;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.624893436;68;0;LANDSAT_5;5.075.502;51.236.408;81;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19840826_00000000000000000000;479;8;939;1303;933;141;2888;70;66870000;COXIM;16;0;26/08/1984;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.738888889;68;0;LANDSAT_5;55.301.926;4.723.801;8;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19841013_00000000000000000000;627;8;873;1007;853;252;2968;194;66870000;COXIM;1;0;13/10/1984;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.551601423;68;0;LANDSAT_5;76.380.646;34.543.953;154;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19841216_00000000000000000000;588;2;902;1093;1177;196;2929;84;66870000;COXIM;44;0;16/12/1984;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.64298725;68;0;LANDSAT_5;104.120.361;33.910.408;167;0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19850218_00000000000000000000;628;8;998;1280;1208;463;2888;286;66870000;COXIM;30;0;18/02/1985;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.366187543;66;0;LANDSAT_5;85.476.501;39.757.633;82;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19850813_00000000000000000000;479;8;766;859;395;120;2906;76;66870000;COXIM;0;0;13/08/1985;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.742212675;68;0;LANDSAT_5;51.331.535;50.516.827;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19850914_00000000000000000000;1768;8;1854;1715;1737;664;2964;306;66870000;COXIM;2;0;14/09/1985;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.472597299;96;0;LANDSAT_5;62.024.559;41.973.419;;8;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19851016_00000000000000000000;563;8;855;1016;686;185;2964;127;66870000;COXIM;0;0;16/10/1985;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.644230769;68;0;LANDSAT_5;78.086.281;34.242.443;66;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19851203_00000000000000000000;710;7;1115;1406;1329;358;2960;220;66870000;COXIM;12;0;03/12/1985;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.513917176;66;0;LANDSAT_5;101.954.475;3.301.627;230;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860426_00000000000000000000;459;8;943;1249;774;184;2951;122;66870000;COXIM;13;0;26/04/1986;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.673469388;68;0;LANDSAT_5;51.909.573;4.939.254;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860512_00000000000000000000;426;8;805;1067;740;198;2938;82;66870000;COXIM;1;0;12/05/1986;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.605184447;68;0;LANDSAT_5;47.236.454;52.263.145;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860528_00000000000000000000;420;8;779;927;462;174;2942;88;66870000;COXIM;0;0;28/05/1986;9;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.66951567;68;0;LANDSAT_5;44.521.061;54.785.042;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860613_00000000000000000000;416;6;832;840;428;337;2933;147;66870000;COXIM;2;0;13/06/1986;7;-18.508.158.838.633.000;-5.476.266.594.647.040;-0.423438837;68;0;LANDSAT_5;43.651.115;56.550.495;9;32;"{""type"":""MultiPoint"",""coordinates"":[]}"
