system:index;B1_median;B2_count;B2_median;B3_median;B4_median;B5_median;B6_median;B7_median;Codigo;Estacao;cloud_cover;cloud_qa_count;date;img_qual;lat;lon;nd_median;pixel_qa_median;radsat_qa_median;sensor;solar_az;solar_zen;sr_atmos_opacity_median;sr_cloud_qa_median;.geo
1_LT05_225073_19840420_00000000000000000000;327.0;4;570.0;609.0;1122.0;460.0;2951.0;208.0;66845000;PEDRO GOMES;2.0;0;20/07/1984;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.10679611650485436;66.0;0.0;LANDSAT_5;53.555.485;48.024.506;9.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19840420_00000000000000000001;410.0;4;873.0;1179.0;807.0;118.0;2947.0;75.0;66870000;COXIM;2.0;0;20/07/1984;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.7618567103935419;68.0;0.0;LANDSAT_5;53.555.485;48.024.506;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19840725_00000000000000000000;378.0;3;557.0;510.0;741.0;410.0;2920.0;233.0;66845000;PEDRO GOMES;4.0;0;25/09/1984;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.15201654601861428;66.0;0.0;LANDSAT_5;47.150.917;54.238.045;9.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19840725_00000000000000000001;526.0;4;863.0;954.0;594.0;237.0;2915.0;134.0;66870000;COXIM;4.0;0;25/09/1984;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.5481410867492851;68.0;0.0;LANDSAT_5;47.150.917;54.238.045;10.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19840810_00000000000000000000;557.0;3;754.0;691.0;894.0;622.0;2968.0;316.0;66845000;PEDRO GOMES;6.0;0;10/09/1984;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.12285927029039465;66.0;0.0;LANDSAT_5;5.075.502;51.236.408;80.0;0.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19840810_00000000000000000001;720.0;4;1000.0;1035.0;750.0;220.0;2955.0;173.0;66870000;COXIM;6.0;0;10/09/1984;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6248934356351236;68.0;0.0;LANDSAT_5;5.075.502;51.236.408;81.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19840826_00000000000000000001;479.0;4;939.0;1303.0;933.0;141.0;2888.0;70.0;66870000;COXIM;16.0;0;26/10/1984;7.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.7388888888888889;68.0;0.0;LANDSAT_5;55.301.926;4.723.801;8.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19841013_00000000000000000000;517.0;4;722.0;751.0;1448.0;676.0;2981.0;335.0;66845000;PEDRO GOMES;1.0;0;13/10/1984;7.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.008070432868672046;66.0;0.0;LANDSAT_5;76.380.646;34.543.953;177.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19841013_00000000000000000001;627.0;4;873.0;1007.0;853.0;252.0;2968.0;194.0;66870000;COXIM;1.0;0;13/10/1984;7.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.5516014234875445;68.0;0.0;LANDSAT_5;76.380.646;34.543.953;154.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19850218_00000000000000000001;628.0;4;998.0;1280.0;1208.0;463.0;2888.0;286.0;66870000;COXIM;30.0;0;18/10/1985;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.3661875427789186;66.0;0.0;LANDSAT_5;85.476.501;39.757.633;82.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19850322_00000000000000000000;427.0;3;737.0;827.0;1073.0;548.0;2888.0;224.0;66845000;PEDRO GOMES;71.0;0;22/10/1985;7.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.12261995430312261;66.0;0.0;LANDSAT_5;67.229.424;42.839.008;24.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19850813_00000000000000000000;410.0;2;803.0;851.0;718.0;309.0;2947.0;485.0;66845000;PEDRO GOMES;0.0;0;13/09/1985;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.4442446043165468;68.0;0.0;LANDSAT_5;51.331.535;50.516.827;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19850813_00000000000000000001;479.0;4;766.0;859.0;395.0;120.0;2906.0;76.0;66870000;COXIM;0.0;0;13/09/1985;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.7422126745435016;68.0;0.0;LANDSAT_5;51.331.535;50.516.827;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19850914_00000000000000000000;1656.0;2;1731.0;1539.0;1848.0;939.0;2990.0;383.0;66845000;PEDRO GOMES;2.0;0;14/09/1985;7.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.2966292134831461;66.0;0.0;LANDSAT_5;62.024.559;41.973.419;;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19850914_00000000000000000001;1768.0;4;1854.0;1715.0;1737.0;664.0;2964.0;306.0;66870000;COXIM;2.0;0;14/09/1985;7.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.4725972994440032;96.0;0.0;LANDSAT_5;62.024.559;41.973.419;;8.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19851016_00000000000000000000;494.0;2;808.0;884.0;862.0;632.0;3002.0;338.0;66845000;PEDRO GOMES;0.0;0;16/09/1985;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.12222222222222222;68.0;0.0;LANDSAT_5;78.086.281;34.242.443;113.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19851016_00000000000000000001;563.0;4;855.0;1016.0;686.0;185.0;2964.0;127.0;66870000;COXIM;0.0;0;16/09/1985;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.6442307692307693;68.0;0.0;LANDSAT_5;78.086.281;34.242.443;66.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19851203_00000000000000000001;710.0;4;1115.0;1406.0;1329.0;358.0;2960.0;220.0;66870000;COXIM;12.0;0;03/08/1985;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.5139171758316361;66.0;0.0;LANDSAT_5;101.954.475;3.301.627;230.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860410_00000000000000000000;457.0;4;705.0;775.0;1394.0;622.0;2947.0;197.0;66845000;PEDRO GOMES;18.0;0;10/05/1986;9.0;-18.165.530.436.855.800;-5.447.137.071.160.160;-0.03115264797507788;66.0;0.0;LANDSAT_5;5.846.656;46.596.931;136.0;1.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
1_LT05_225073_19860426_00000000000000000001;459.0;4;943.0;1249.0;774.0;184.0;2951.0;122.0;66870000;COXIM;13.0;0;26/05/1986;9.0;-1.850.815.884.307.570;-5.476.266.594.700.550;-0.673469387755102;68.0;0.0;LANDSAT_5;51.909.573;4.939.254;9.0;32.0;"{""type"":""MultiPoint"",""coordinates"":[]}"
